,district,county,population,lat,long
128,0,49.0,24.0,40.4244191,-111.7652772
129,0,49.0,82.0,40.3036204,-111.6903105
130,0,49.0,58.0,40.3455661,-111.9150652
131,0,49.0,61.0,40.3384684,-111.933478
132,0,49.0,95.0,40.3980468,-111.8084414
133,0,49.0,14.0,40.3766934,-111.8375909
134,0,49.0,195.0,40.3707655,-111.7941696
135,0,49.0,42.0,40.397689,-111.7972383
136,0,49.0,78.0,40.3845041,-111.7615215
137,0,49.0,38.0,40.2839511,-111.6455822
138,0,49.0,58.0,40.2688472,-111.6443292
139,0,49.0,9.0,40.2620416,-111.6557428
140,0,49.0,67.0,40.368487,-111.9692465
141,0,49.0,58.0,40.2397546,-111.6839136
142,0,49.0,60.0,40.3159695,-111.6874966
143,0,49.0,44.0,40.2515359,-111.6773762
144,0,49.0,61.0,40.2718316,-111.6464466
145,0,49.0,131.0,40.4015882,-111.8466889
146,0,49.0,42.0,40.4283302,-111.8274557
147,0,35.0,52.0,40.5650053,-111.9743482
148,0,35.0,65.0,40.4974789,-111.8548231
149,0,35.0,101.0,40.5698755,-112.0010801
150,0,35.0,112.0,40.5714493,-111.822353
151,0,35.0,56.0,40.5932986,-111.8090883
152,0,35.0,51.0,40.5131668,-112.0100168
153,0,35.0,21.0,40.5436138,-111.9895361
154,0,35.0,51.0,40.5506233,-111.8517184
155,0,35.0,42.0,40.5314046,-111.958617
156,0,49.0,22.0,40.2724942,-111.6872248
157,0,49.0,74.0,40.2635657,-111.6877486
158,0,49.0,123.0,40.4093115,-111.8558552
159,0,49.0,15.0,40.3549223,-111.5744432
160,0,49.0,75.0,40.3350145,-111.9296997
161,0,35.0,108.0,40.5970872,-111.8893987
162,0,35.0,184.0,40.5841818,-111.8706335
163,0,35.0,47.0,40.5226603,-111.9979978
164,0,35.0,24.0,40.5534906,-111.8781824
165,0,35.0,106.0,40.5484525,-111.9232594
166,0,35.0,59.0,40.5038508,-112.0123226
167,0,49.0,562.0,40.274627,-111.7082935
168,0,49.0,149.0,40.393416,-111.9307285
