,district,county,population,lat,long
0,0,33.0,2297.0,36.5053056969697,-79.21370781010101
1,0,33.0,5517.0,36.415258911188815,-79.33390611118881
2,0,33.0,3787.0,36.5060521,-79.45777271882353
3,0,33.0,2563.0,36.421298245454544,-79.45400310227272
4,0,81.0,4781.0,36.131622885964916,-79.75443886491227
5,0,81.0,5594.0,36.20490769305555,-79.62709953611112
6,0,81.0,5506.0,36.099079203076926,-79.63531930230769
7,0,81.0,5446.0,36.16223414042553,-79.67863724042553
8,0,81.0,7760.0,36.1265364,-79.7132870203125
9,0,81.0,7211.0,36.159002295,-79.75546643833333
10,0,81.0,5439.0,36.21279555666667,-79.83007448777778
11,0,81.0,6245.0,36.21771137034483,-79.7410398786207
12,0,81.0,6193.0,36.158145540336136,-79.80080440672269
13,0,81.0,8668.0,36.19837833544304,-79.89733032848102
14,0,81.0,6175.0,36.23427477538461,-79.97246102384615
15,0,81.0,4902.0,36.15064041313131,-79.95069736969697
16,0,81.0,1837.0,36.156322945945945,-79.88732932702703
17,0,81.0,7620.0,36.13420714823529,-79.9334072
18,0,157.0,3934.0,36.4595538344086,-79.61964312258064
19,0,157.0,2454.0,36.42880323222222,-79.57655798777778
20,0,157.0,3746.0,36.51562885572519,-79.69378325725191
21,0,157.0,3866.0,36.49849786698113,-79.7421553990566
22,0,157.0,5851.0,36.51533601754386,-79.76132246374269
23,0,157.0,3534.0,36.50578708108108,-79.78955485135135
24,0,157.0,2811.0,36.485002516883114,-79.7811222064935
25,0,157.0,3688.0,36.50042207159091,-79.89901111590909
26,0,157.0,4386.0,36.44026486146789,-79.88956109357798
27,0,157.0,4149.0,36.424570870229005,-79.99144560458015
28,0,157.0,1597.0,36.38878630483871,-79.96601695483871
29,0,157.0,2468.0,36.41283019514563,-79.96313834757281
30,0,157.0,6437.0,36.320895246896555,-79.97296059034483
31,0,157.0,5903.0,36.32644216896552,-79.8834683637931
32,0,157.0,6485.0,36.429739791907515,-79.72805134971098
33,0,157.0,4962.0,36.36512907721519,-79.67036937341773
34,0,157.0,6374.0,36.305530452066115,-79.59585777603306
35,0,157.0,3019.0,36.33697423888889,-79.65555733444444
36,0,157.0,1338.0,36.307228735555555,-79.69338122222223
37,0,157.0,6035.0,36.34236123,-79.6769337788889
38,0,157.0,3323.0,36.34975030917431,-79.74481191834863
39,0,157.0,4736.0,36.27810300747664,-79.74094031682243
40,0,169.0,3492.0,36.38604913372093,-80.07859970232558
41,0,169.0,2633.0,36.48763428375,-80.11360985625
42,1,7.0,2783.0,34.96831861076233,-79.94901105560538
43,1,7.0,1411.0,35.09825614751773,-80.10668107943262
44,1,7.0,4504.0,35.041588603716214,-80.23940133885135
45,1,7.0,649.0,34.960661079069766,-80.22283867441861
46,1,7.0,2475.0,34.99634930215827,-80.07559818345324
47,1,7.0,944.0,34.949212386363634,-80.11901423863637
48,1,7.0,4442.0,34.957054154744526,-80.06841700218978
49,1,7.0,3481.0,34.857822553521125,-80.08788253767605
50,1,7.0,1366.0,34.988441333333334,-80.18421926666667
51,1,57.0,3756.0,35.62590271090909,-80.11017302636364
52,1,123.0,1622.0,35.418846710714284,-79.76580355357143
53,1,123.0,4416.0,35.372340561904764,-79.78616926926406
54,1,123.0,1995.0,35.419510091836734,-79.8642809255102
55,1,123.0,4420.0,35.356427476954735,-79.90415207901235
56,1,123.0,1629.0,35.34060556,-80.03850134421053
57,1,123.0,2450.0,35.47627854785276,-80.07024381411043
58,1,123.0,1975.0,35.20413569663866,-80.00949943109244
59,1,123.0,2616.0,35.26092325360825,-80.02499396804124
60,1,123.0,2443.0,35.268088959813085,-79.72394193551402
61,1,123.0,2185.0,35.24500783571428,-79.82823465238096
62,1,125.0,2369.0,35.425544861073824,-79.57726750067114
63,1,125.0,4154.0,35.45525333233083,-79.66916581578947
64,1,125.0,2269.0,35.24601141,-79.595411768
65,1,125.0,2853.0,35.30531765918367,-79.63907899795919
66,1,125.0,3992.0,35.2661929625,-79.5592661325
67,1,125.0,1920.0,35.178772650574714,-79.57415158390805
68,1,151.0,6138.0,35.59101037679558,-79.94971449226519
69,1,153.0,3213.0,35.03788654427481,-79.60171638015267
70,1,153.0,4319.0,35.094665580208336,-79.80695793515625
71,1,153.0,4486.0,34.96405029402174,-79.7923378597826
72,1,153.0,4088.0,34.956358999038464,-79.73987167692307
73,1,153.0,2335.0,34.94122708045977,-79.76785709540229
74,1,153.0,3990.0,34.92095748055556,-79.7380003
75,1,153.0,2789.0,34.91951956857143,-79.76712733214286
76,1,153.0,4981.0,34.89135716052632,-79.80343988263158
77,1,153.0,5050.0,34.88630812488479,-79.72000997926267
78,1,153.0,3730.0,34.90673496551724,-79.68990983241379
79,1,153.0,3965.0,34.87356538177778,-79.67752658177778
80,1,165.0,2698.0,34.74779534365079,-79.58471652142858
81,1,165.0,3550.0,34.812402490797545,-79.56607888527607
82,1,165.0,3204.0,34.91084332643678,-79.47678871091954
83,1,167.0,4251.0,35.457067804069766,-80.2747402116279
84,1,167.0,3797.0,35.43754298540146,-80.18849785036497
85,1,167.0,4945.0,35.38023871754386,-80.12325224093567
86,1,167.0,3917.0,35.3844796336,-80.1857613592
87,1,167.0,3478.0,35.36548178359375,-80.21735515234374
88,1,167.0,4668.0,35.323323429411765,-80.30839615714285
89,1,167.0,5839.0,35.267972779605266,-80.41268979868421
90,1,167.0,4746.0,35.216591389312974,-80.42977150687022
91,1,167.0,2590.0,35.2199692232258,-80.32821085419354
92,1,167.0,3459.0,35.254136497321426,-80.34164332232143
