tract,county,pop,lat,long
001402,195,6059,-77.97941984116181,35.77785171961987
001403,147,2959,-77.44092554058051,35.48577204574407
001404,147,1773,-77.43582352333947,35.443105295394474
001500,021,2507,-82.58788090799959,35.63176334799207
001500,051,2816,-78.87317553613121,34.98471368348536
001500,067,4361,-80.24002512796856,36.15332344383074
001500,133,2483,-77.42361362031075,34.77301841088448
001500,147,3088,-77.39343843466115,35.36727466075057
001500,191,2162,-78.00078812611773,35.354046800815276
001501,063,3430,-78.93938554689065,35.999652661816555
001501,195,2337,-78.06112911262757,35.7544474931582
001502,195,3498,-78.06839572099756,35.72266463352935
001503,063,1861,-78.91568157751287,36.006961818738276
001504,063,3033,-78.9527751442867,36.00746284423048
001504,119,6620,-80.76062739538803,35.24299064789904
001505,063,3951,-78.94288875002167,36.01174647671769
001505,119,4325,-80.75427256321079,35.27492784997533
001507,119,4372,-80.7433101084194,35.24622242294871
001508,119,6762,-80.72751450699297,35.24306409947228
001509,119,3045,-80.76028778802367,35.25722577164544
001510,119,3202,-80.74554615302117,35.25700762841488
001600,195,3154,-78.09639597061737,35.64611435527019
001601,021,3432,-82.56316225378156,35.63228699212548
001601,063,6117,-78.88533899572433,36.09913965381597
001601,067,3607,-80.21239509636159,36.140676981484475
001601,147,4177,-77.47416028100669,35.50580934795079
001602,021,3480,-82.5631896282106,35.65967391804512
001602,067,3101,-80.22008679541672,36.12209487321688
001602,147,4832,-77.50154358011915,35.57671674948702
001603,051,3703,-78.92956171297304,34.99730664719387
001603,063,6846,-78.93049752075797,36.11678723956822
001603,119,3974,-80.76204967569223,35.22857573807221
001604,051,7877,-78.91300316475053,34.99179242780073
001604,063,6655,-78.95534979360065,36.09312201006035
001605,051,3765,-78.96023308500465,34.97359076550136
001605,119,1651,-80.77527925407135,35.22019313248081
001606,051,3736,-78.93267767244089,34.96917926215683
001606,119,4104,-80.76246247181433,35.21844497225732
001607,119,2629,-80.74872543343677,35.21138974601194
001608,119,4104,-80.76120073194652,35.23576047828333
001609,119,3202,-80.74168744328246,35.22107720272172
001700,021,2887,-82.51565851311707,35.64591585468771
001700,067,5527,-80.19965464120803,36.11471127803746
001700,133,2304,-77.41713275178115,34.76669388041125
001700,147,3909,-77.48957655573028,35.6327833700852
001700,195,3995,-78.01023493271056,35.643062730991254
001701,051,2742,-78.93782062267934,35.021187981477574
001701,119,4004,-80.78939589423305,35.211891001130006
001702,051,5681,-78.94459871410051,35.00363781563435
001702,119,6094,-80.7698957563474,35.206961721863046
001705,063,5794,-78.92897215703334,36.03689429830569
001706,063,5252,-78.96815690183097,36.018051007739906
001708,063,4895,-78.88687697754773,36.06679991851564
001709,063,8149,-78.88417988788211,36.04722361794643
001710,063,4646,-78.91301488778986,36.05813382630427
001711,063,4748,-78.92969315651881,36.05898847012177
001712,063,4150,-78.95224627115486,36.054129668791106
001713,063,3407,-78.97167619655629,36.03909425862544
001800,051,2084,-78.94176059476064,35.03451366906105
001800,067,4478,-80.20830012536489,36.077033588546584
001800,133,1749,-77.4273306682129,34.74874065917731
001800,147,5693,-77.58626699124547,35.58620524418471
001800,191,2799,-77.99916555088191,35.39412878498575
001801,021,3512,-82.52194406879897,35.60375672169945
001801,063,8293,-78.83046355679211,36.0501747488772
001801,119,1299,-80.79593871164427,35.2037921030897
001802,021,4671,-82.50081530388978,35.60877421606445
001802,063,7548,-78.85116833068379,35.98740589370157
001802,119,3453,-80.77897503417067,35.1941367197237
001806,063,6760,-78.79595249363868,36.013966816864034
001808,063,11498,-78.81380479555779,35.95944427877478
001809,063,7316,-78.84109864247992,35.942412276550485
001810,063,3550,-78.83638761124277,35.97581396352583
001811,063,6378,-78.81595948359372,35.98840309589617
001900,021,3645,-82.49738864956777,35.577674607198915
001900,063,6201,-78.75250469237712,35.970034100724554
001900,147,2725,-77.58221245694536,35.674519713197945
001900,191,3934,-77.96770725142129,35.38870753144445
001901,051,2029,-78.96555922542427,34.99779233844831
001901,067,1542,-80.22640218348782,36.06480730495634
001902,051,4438,-78.95736925073172,35.024138969691634
001902,067,1871,-80.24574804082273,36.07165648119506
001903,051,4008,-78.96826980375248,35.025549728325764
001910,119,5007,-80.73295396712845,35.19544114710269
001911,119,5812,-80.71850104088925,35.188613220176045
001914,119,3464,-80.7627057910444,35.1795069247837
001916,119,4641,-80.70507260842429,35.20284194156052
001917,119,3775,-80.68706800895464,35.1999797784659
001918,119,3690,-80.75731036991002,35.19819440849983
001919,119,4467,-80.75011959042499,35.19021296535466
001920,119,4883,-80.74192941689775,35.17889371654675
001921,119,2454,-80.7305122696441,35.17316460628057
001922,119,4594,-80.70511733077322,35.21860708575998
001923,119,3756,-80.71716068791368,35.211791083666
001924,119,2878,-80.73525946906295,35.21352119956973
001925,119,4180,-80.72965954535823,35.215774839993934
001926,119,3564,-80.74963435481453,35.16722093971062
001927,119,2948,-80.74299811448407,35.15668349343704
002000,021,7131,-82.5234982725066,35.56248644100455
002000,191,1329,-78.00682701341586,35.378819186655086
002001,051,2921,-78.9671302803911,35.06836539854056
002001,067,2536,-80.23794959442932,36.05674145796951
002002,051,4548,-78.96266766230163,35.05009577474068
002002,067,3445,-80.25176450544038,36.05436790851473
002002,147,4667,-77.36167748500189,35.74989934801163
002003,147,4004,-77.45048452558571,35.680493458933455
002004,119,5189,-80.78083473256966,35.14687438040073
002004,147,1799,-77.41850352127169,35.68216548427509
002005,119,2568,-80.79787620101936,35.16546898570535
002006,119,3998,-80.78323399088805,35.171038232861335
002007,063,5080,-78.93828857564314,35.94967157298009
002007,119,2578,-80.75849751795022,35.16008557895819
002008,063,3178,-78.9548412731608,35.94194777255898
002008,119,3143,-80.76733376752573,35.1532611027171
002009,063,4800,-78.90084379477318,35.95987048831649
002013,063,4805,-78.90983833298428,35.890195587578575
002015,063,5328,-78.94560087375997,35.96775150881263
002019,063,5134,-78.98728402138715,35.88739511180842
002020,063,8403,-78.94359034901433,35.883905363299796
002021,063,4604,-78.94425299528787,35.90552386518084
002022,063,4524,-78.92270969038205,35.91763066356659
002023,063,2837,-78.94105682443366,35.91775584009068
002024,063,7058,-78.9328973025289,35.93311741204105
002025,063,6410,-78.90603441942967,35.92971097380109
002026,063,6831,-78.89756956284775,35.94552141350035
002029,063,3774,-78.98271763788038,35.96746303575321
002030,063,4354,-78.9761185905643,35.99215707325351
002031,063,2201,-78.96104349074714,35.95806085026448
002032,063,3320,-78.97118161716485,35.957939408301264
002033,063,4293,-78.99717578465972,35.92275682717543
002034,063,6052,-78.97736008484668,35.93621297744795
002035,063,6682,-78.88676675954356,35.93413692394288
002036,063,4307,-78.89820697605883,35.88753193323238
002037,063,7165,-78.84449290023531,35.88454827922677
002038,063,5724,-78.82784041202969,35.91274268319632
002100,051,4339,-78.93888997403161,35.07588289488015
002100,063,9056,-78.87949182526768,36.178931580406825
002100,067,2111,-80.28374844546728,36.07439590207809
002100,119,2764,-80.78559927465155,35.185084903614914
002100,133,5900,-77.35701930455468,34.77931874138462
002101,021,1469,-82.5528718087986,35.53830462689245
002102,021,5650,-82.51452090813267,35.542839378360455
002200,051,2488,-78.96423372197147,35.09253770285274
002200,063,3177,-78.90131854633502,35.99976413078252
002200,067,3588,-80.28503206802765,36.085070364571095
002201,119,2718,-80.79848550077749,35.183887390387056
002201,133,4825,-77.36636692403204,34.75967735957851
002202,119,3184,-80.81066936382553,35.18128101419394
002202,133,4292,-77.36828705130405,34.746330187524364
002203,021,6661,-82.53199263737527,35.45353876382424
002204,021,9841,-82.53887796103271,35.497401663193635
002205,021,6815,-82.49766690013664,35.465949522982534
002206,021,5053,-82.50506595752493,35.501724602437264
002300,063,2434,-78.90262302800235,35.98715655590025
002300,119,2937,-80.80371799549641,35.19584175921004
002300,133,4431,-77.3198810274934,34.7611147927278
002301,051,3577,-78.93715744742573,35.09251639207063
002302,051,1008,-78.94822374067118,35.10255392335492
002303,021,6716,-82.57282905614728,35.458997030997196
002304,021,1675,-82.60827865137365,35.46225103385517
002305,021,5967,-82.64158308254092,35.50611924172938
002306,021,3890,-82.5958472590109,35.53595355257658
002400,119,3100,-80.8165101203479,35.20705750961043
002400,133,7558,-77.31191154937595,34.73886396734472
002401,021,3554,-82.7549645448335,35.48543276900334
002401,051,1550,-78.93094299464528,35.10739934456563
002402,021,5660,-82.69922695529998,35.49013034177521
002402,051,3288,-78.91462807315531,35.10906277399051
002500,119,2498,-80.82135269746318,35.21801462914566
002500,133,3263,-77.26140349334646,34.722722394978625
002501,051,8012,-78.8987507684645,35.117945059811206
002501,067,2680,-80.28300686804602,36.104819904037704
002502,067,3017,-80.29901679503105,36.09948747979945
002503,021,4354,-82.71972928717352,35.54350341167087
002503,051,5220,-78.88591107473883,35.13442966978854
002504,021,5135,-82.72557265252881,35.567712673513064
002504,051,8292,-78.89192438627303,35.159198079804206
002505,021,5164,-82.66803229632379,35.56863682074957
002505,051,3427,-78.87016870526496,35.11947170517082
002506,021,3961,-82.64316873389917,35.582877345140496
002506,051,3419,-78.8621617034729,35.146290060254394
002600,051,4754,-78.76602177292769,35.153421798466105
002600,119,1521,-80.8319519883787,35.20936816035892
002600,133,3202,-77.39911478159054,34.7573943767884
002601,067,2798,-80.29652283269515,36.1211030856713
002603,021,3784,-82.78939593279594,35.646153876082955
002604,021,6746,-82.68033155213713,35.69360133248098
002604,067,6519,-80.33708098683606,36.14912032695342
002605,067,2569,-80.32925514782423,36.124922686706455
002606,021,4158,-82.65906524162787,35.64398633599916
002606,067,4317,-80.31238333897299,36.137594864757354
