county,block,pop,lat,long
197,1002,451,-80.66180258204851,36.157231136553406
199,1002,59,-82.28484587901286,35.947333703032115
001,1003,2896,-79.3561921190823,35.975769130621444
003,1003,150,-81.1866498810588,35.91937285115798
005,1003,16,-81.03803842699385,36.55788056587195
007,1003,103,-80.17182287006618,35.03064840138601
009,1003,94,-81.66899075973232,36.55327721385518
011,1003,105,-82.01857760599063,36.0724681836663
013,1003,148,-76.79268222268564,35.62301230292212
015,1003,147,-76.85482994105833,36.1830755412121
017,1003,219,-78.5862829918072,34.58567966737568
019,1003,1361,-78.17185317715428,34.11375098929456
021,1003,2894,-82.493582583062,35.61304845300077
023,1003,757,-81.78382296336238,35.83549045088759
025,1003,3911,-80.54504390483328,35.34647077229389
027,1003,273,-81.54243759766885,35.96489345566158
029,1003,358,-76.38330775987193,36.48341934336459
031,1003,1554,-76.82485367784257,34.74961888715081
033,1003,95,-79.35472720895346,36.40706714983485
035,1003,1925,-81.21771255617135,35.69965554548624
037,1003,982,-79.20999907077069,35.72717143479117
039,1003,260,-84.08798517329512,35.067598086491714
041,1003,35,-76.63673492048615,36.31323442570958
043,1003,163,-83.88876750805998,35.042858462876374
045,1003,837,-81.51880408540845,35.321123198251215
047,1003,276,-78.58994577448483,34.366311606192546
049,1003,1323,-76.88028718965506,34.934943735308764
051,1003,5733,-78.81213143897702,35.039907826162015
053,1003,190,-75.92611182514955,36.27691262624943
055,1003,59,-75.69375551858067,36.00881268823932
057,1003,2763,-80.170179518956,35.87520946255226
059,1003,128,-80.56945990691838,35.945374984525955
061,1003,399,-77.97149192952881,34.96049383545979
063,1003,8865,-78.9307869244929,36.01648623535275
065,1003,236,-77.64817038814962,35.99719119294161
067,1003,6100,-80.22024068920994,36.14263985060868
069,1003,724,-78.3594779771964,36.106098505903674
071,1003,4707,-81.16076103105266,35.31107116805529
073,1003,37,-76.71838451689726,36.54453147404632
077,1003,2467,-78.67443008096761,36.31590597846269
079,1003,55,-77.58890669645189,35.516251268122716
081,1003,9457,-79.85466528719121,36.108048283094796
083,1003,562,-77.57265596771701,36.24476308588727
085,1003,1933,-78.87763075331776,35.404672864541695
087,1003,664,-82.93390650206804,35.53166138035383
089,1003,1092,-82.47292280149122,35.34954477320226
091,1003,99,-76.94543425110547,36.347522191938225
093,1003,648,-79.18631262744863,34.97330668181096
097,1003,2046,-80.86935486073052,35.836952308142365
099,1003,85,-83.12339677260472,35.31486427964099
101,1003,5746,-78.39105184714683,35.533561964267996
103,1003,74,-77.14924628301301,35.058554859829684
105,1003,259,-79.20873482938227,35.43869048228787
107,1003,477,-77.59036737227491,35.279748312735634
109,1003,1514,-81.20528111186292,35.525302052874515
111,1003,312,-82.00286438576748,35.71119400261523
113,1003,115,-83.39642474862173,35.29215987014948
115,1003,236,-82.64162839945227,35.87895274609579
117,1003,163,-77.19203481844633,35.89648348447389
119,1003,38152,-80.80660250092645,35.22713819956133
121,1003,93,-82.10519737471759,36.05853450365951
123,1003,435,-79.89994632237156,35.334796004631826
125,1003,1487,-79.50952536284798,35.2298198939357
127,1003,1295,-77.91200175101757,35.988396642536614
129,1003,2261,-77.91001982711836,34.25693671367803
131,1003,166,-77.33221452753561,36.29959691667178
133,1003,3085,-77.37164424687145,34.780075353143765
135,1003,4211,-79.14601105866737,36.01934465303942
137,1003,71,-76.86545284337444,35.092142753419
139,1003,321,-76.38806306738385,36.39137720097592
141,1003,383,-77.92378013280563,34.5232931846002
143,1003,59,-76.47121504918293,36.3221922477956
145,1003,392,-78.88412744585183,36.457003466474426
147,1003,2441,-77.33109040995947,35.544539508325464
149,1003,439,-82.16018333123378,35.24019710783052
151,1003,1382,-79.79221666617124,35.77253339971548
153,1003,296,-79.67977688264,35.03917769822961
155,1003,1504,-79.06298154548223,34.678468184974705
157,1003,856,-79.7309621472276,36.404090063391386
159,1003,2877,-80.53787313743021,35.64601424349939
161,1003,625,-81.91924554123779,35.36513930476399
163,1003,586,-78.35115333454976,34.92780465101514
165,1003,213,-79.46074301150378,34.80993963244026
167,1003,1410,-80.23301489527007,35.331457827016266
169,1003,350,-80.20503293940854,36.45144956035892
171,1003,1149,-80.70444643188436,36.4380055625467
173,1003,7,-83.37924945497448,35.48580351499574
175,1003,107,-82.65891927829672,35.20633756755177
177,1003,24,-76.10944609698679,35.974017709915444
179,1003,3869,-80.50065351939452,35.010201140603435
181,1003,409,-78.40548907160463,36.48280936943786
183,1003,21449,-78.651156664669,35.82868387912608
185,1003,60,-78.10602816992646,36.45261311293167
187,1003,103,-76.40387086974744,35.85307556273811
189,1003,975,-81.75215483349763,36.250682709038124
191,1003,1405,-78.00931769749802,35.40970309244859
193,1003,839,-81.24783702616662,36.14542644625952
195,1003,1265,-77.88353784372029,35.715912244471966
197,1003,194,-80.6345534239197,36.205454692700364
199,1003,42,-82.30500994238668,35.9136425258982
001,1004,2902,-79.36165010135993,36.071229442482114
003,1004,405,-81.15744729922194,35.9466927804069
005,1004,70,-81.04714234720068,36.55559918153479
007,1004,60,-80.10815955280935,35.0902332283726
009,1004,77,-81.62175968056971,36.372023406479315
011,1004,92,-82.03029820777836,36.01241464268795
013,1004,555,-76.81398999465905,35.53553992614753
015,1004,175,-76.90639594252876,36.02613321793695
017,1004,132,-78.57152289545164,34.62807217065944
019,1004,1487,-78.25930191122393,34.05743839484114
021,1004,4569,-82.52626067035709,35.64638083764328
023,1004,631,-81.71375636152077,35.71631655293024
025,1004,3358,-80.64075867183725,35.40461596449325
027,1004,427,-81.64757417793786,35.997191461851976
029,1004,32,-76.28939857527787,36.42417333071716
031,1004,1151,-76.73632763031102,34.77162504968397
033,1004,83,-79.17324147831522,36.4216027794312
035,1004,1470,-81.22905220028493,35.667636222835974
037,1004,1167,-79.1824076002577,35.802384509833885
039,1004,328,-84.08113364811553,35.132917201588846
041,1004,218,-76.60177271170599,36.17641849810769
043,1004,23,-83.86319180124292,35.03886477841852
045,1004,613,-81.51646478621805,35.36582611946624
047,1004,358,-78.75334997419397,34.26059833938569
049,1004,1599,-77.10480625434859,35.168635736020846
051,1004,7443,-78.84726357720204,35.04856857039279
053,1004,1449,-76.11683146209805,36.51166513856319
055,1004,392,-75.69874159252653,35.97244509741723
057,1004,2304,-80.25186889783804,35.88548604231633
059,1004,235,-80.58346341511526,35.95247337306385
061,1004,473,-77.92708623123785,34.93477338147979
063,1004,6322,-78.8973473922593,35.998073147171915
065,1004,1133,-77.57557918963379,35.90325382927847
067,1004,6548,-80.20955717213327,36.10532936231462
069,1004,1297,-78.36573024809168,36.086436880046065
071,1004,5598,-81.15809219106012,35.3177985427935
073,1004,52,-76.73792633225086,36.54697577465877
075,1004,3,-83.98045367274112,35.352858785272254
077,1004,758,-78.62170100605563,36.25755744159545
079,1004,170,-77.59914401675202,35.522712152303995
081,1004,9868,-79.77179510195005,36.11233563179115
083,1004,559,-77.80059625268167,36.37486279982447
085,1004,1267,-78.86155459079916,35.43666282266341
087,1004,625,-82.94404418096455,35.523514196571796
089,1004,1738,-82.45643869575663,35.35084840009616
091,1004,66,-76.90300918995422,36.3241858121572
093,1004,1311,-79.14869919775361,34.98111192020156
095,1004,1,-76.30085296695563,35.46598055690183
097,1004,2240,-80.9139951938086,35.8166375692499
099,1004,181,-83.14552830319806,35.3397640401796
101,1004,3355,-78.39031285859873,35.496370885260276
103,1004,130,-77.40382497173843,35.15493145941123
105,1004,578,-79.22188530414321,35.393612466141064
107,1004,612,-77.61130937730914,35.232056876000215
109,1004,1065,-81.12574484586222,35.481413245761324
111,1004,106,-81.98643811547528,35.65381911498918
113,1004,490,-83.41524538751128,35.29395460460505
115,1004,372,-82.60469120488344,35.87452406877892
117,1004,144,-77.13677632045018,35.86809006098932
119,1004,36316,-80.81401971314179,35.23704834496632
121,1004,35,-82.13917610244492,36.060341912161256
123,1004,63,-79.88202187891221,35.329450857980234
125,1004,1067,-79.51388403017714,35.359678987813915
127,1004,1400,-77.95617056177805,36.059239329657
129,1004,4929,-77.86423541678569,34.22095331754512
131,1004,193,-77.30829564201522,36.41866288764208
133,1004,2573,-77.50006802254502,34.84357977859732
135,1004,4955,-79.10922439528294,36.09020882637428
137,1004,41,-76.86687612329538,35.10266450394364
139,1004,446,-76.32887894174517,36.31238881149108
141,1004,500,-77.80770595398634,34.43798292761613
143,1004,85,-76.54384710314228,36.27876927207056
145,1004,160,-78.96872328096356,36.361014762790155
147,1004,2711,-77.28770340382087,35.5751982493735
