alpha,beta,gamma,pop_dif
21.7,0.9,0.30000000000000004,0.22687105452367218
21.7,0.9,0.4,0.6940211739473824
21.7,0.9,0.5,0.20069968947889405
21.7,0.9,0.6000000000000001,0.3252948846839135
21.7,0.9,0.7000000000000001,0.8667507361032627
21.7,0.9,0.8,0.38644282248521267
21.7,0.9,0.9,0.5821010238609273
21.7,0.9,1,0.5632346810263845
21.7,0.9,1.1,0.271524936844502
21.7,0.9,1.2000000000000002,0.3522164109986139
21.7,0.9,1.3,0.8863499986529282
21.7,0.9,1.4000000000000001,0.29698379574196343
21.7,0.9,1.5,0.574661605367529
21.7,0.9,1.6,0.7178222600545839
21.7,0.9,1.7000000000000002,0.5409729034689545
21.7,0.9,1.8,0.20089999672641362
21.7,0.9,1.9000000000000001,0.5928123661566016
21.7,0.9,2,0.7315413888934388
21.7,0.9,2.1,0.32916104784365907
21.7,0.9,2.2,0.8090507952301849
21.7,0.9,2.3000000000000003,0.5335800764707899
21.7,0.9,2.4000000000000004,0.2362341414135724
21.7,0.9,2.5,0.420042389050568
21.799999999999997,0.9,0,0.5055357493463951
21.799999999999997,0.9,0.1,0.24883223516237887
21.799999999999997,0.9,0.2,0.2445761444246229
21.799999999999997,0.9,0.30000000000000004,0.2785132085320464
21.799999999999997,0.9,0.4,0.3272065156701707
21.799999999999997,0.9,0.5,0.4021143661458386
21.799999999999997,0.9,0.6000000000000001,0.8176010602120658
21.799999999999997,0.9,0.7000000000000001,0.13099222758665482
21.799999999999997,0.9,0.8,0.4035797623935527
21.799999999999997,0.9,0.9,0.310489065398356
21.799999999999997,0.9,1,0.5319631953173057
21.799999999999997,0.9,1.1,0.2643264204887841
21.799999999999997,0.9,1.2000000000000002,0.3375672868527709
21.799999999999997,0.9,1.3,0.47878422733312576
21.799999999999997,0.9,1.4000000000000001,0.4368038861097035
21.799999999999997,0.9,1.5,0.835565480562983
21.799999999999997,0.9,1.6,0.24995071706667982
21.799999999999997,0.9,1.7000000000000002,0.5274905194012003
21.799999999999997,0.9,1.8,0.20089999672641362
21.799999999999997,0.9,1.9000000000000001,0.24651312809806022
21.799999999999997,0.9,2,0.691650588645408
21.799999999999997,0.9,2.1,0.5963063457140877
21.799999999999997,0.9,2.2,0.25003353760633906
21.799999999999997,0.9,2.3000000000000003,0.27522697518559686
21.799999999999997,0.9,2.4000000000000004,0.847856389039356
21.799999999999997,0.9,2.5,0.44691272116791814
21.9,0.9,0,0.250535261910599
21.9,0.9,0.1,0.10134540619948912
21.9,0.9,0.2,0.24343282808144348
21.9,0.9,0.30000000000000004,0.6878319046852429
21.9,0.9,0.4,0.3683852306839362
21.9,0.9,0.5,0.19987682060421638
21.9,0.9,0.6000000000000001,0.5350837575557005
21.9,0.9,0.7000000000000001,0.2932265402123988
21.9,0.9,0.8,0.46373396590553745
21.9,0.9,0.9,0.2843297164679462
21.9,0.9,1,0.5380689191415406
21.9,0.9,1.1,0.3425902858095076
21.9,0.9,1.2000000000000002,0.5750318109300417
21.9,0.9,1.3,0.4765308514700658
21.9,0.9,1.4000000000000001,0.23196086800603646
21.9,0.9,1.5,0.25959900809288555
21.9,0.9,1.6,0.5093817637233323
21.9,0.9,1.7000000000000002,0.5846998096319707
21.9,0.9,1.8,0.20163945198804992
21.9,0.9,1.9000000000000001,0.23188241517418576
21.9,0.9,2,0.30644101396868517
21.9,0.9,2.1,0.6218671905470409
21.9,0.9,2.2,0.5287284943194054
21.9,0.9,2.3000000000000003,0.6006521667526707
21.9,0.9,2.4000000000000004,0.5696779995731251
21.9,0.9,2.5,0.23691388724376472
22,0.9,0,0.6394727071813494
22,0.9,0.1,0.5059019573173019
22,0.9,0.2,0.36596248844668716
22,0.9,0.30000000000000004,0.21836300895103725
-1,-1,NA,-1
22,0.9,0.5,0.22983126941307472
22,0.9,0.6000000000000001,0.5955876092454861
22,0.9,0.7000000000000001,0.3327848033211131
22,0.9,0.8,0.5619842235111446
22,0.9,0.9,0.22424576403268542
22,0.9,1,0.4990303245654227
22,0.9,1.1,0.32656618087887546
22,0.9,1.2000000000000002,0.525861115732241
22,0.9,1.3,0.39429061206736643
22,0.9,1.4000000000000001,0.857279039826651
22,0.9,1.5,0.3816384314592313
22,0.9,1.6,0.6581985488433881
22,0.9,1.7000000000000002,0.48917331861059055
22,0.9,1.8,0.4244488394408366
22,0.9,1.9000000000000001,0.467006132416123
22,0.9,2,0.24060660131712697
22,0.9,2.1,0.4939143270551443
22,0.9,2.2,0.4927532411038537
22,0.9,2.3000000000000003,0.5928054652818446
22,0.9,2.4000000000000004,0.5062949341243291
22,0.9,2.5,0.42160896498766964
22.099999999999998,0.9,0,0.20659317532273475
22.099999999999998,0.9,0.1,0.24761381784952277
22.099999999999998,0.9,0.2,0.3727447345902584
22.099999999999998,0.9,0.30000000000000004,0.18406856786374498
22.099999999999998,0.9,0.4,0.4845179619879786
22.099999999999998,0.9,0.5,0.5332273092738915
22.099999999999998,0.9,0.6000000000000001,0.49955534523156636
22.099999999999998,0.9,0.7000000000000001,0.8979202376590193
22.099999999999998,0.9,0.8,0.8133764308166775
22.099999999999998,0.9,0.9,0.5644740497861046
22.099999999999998,0.9,1,0.4265605355764809
22.099999999999998,0.9,1.1,0.2875048971697452
22.099999999999998,0.9,1.2000000000000002,0.7306457582246585
22.099999999999998,0.9,1.3,0.2838000102403002
22.099999999999998,0.9,1.4000000000000001,0.8356930706656309
22.099999999999998,0.9,1.5,0.8545953163467601
22.099999999999998,0.9,1.6,0.3070885199110336
22.099999999999998,0.9,1.7000000000000002,0.6132195070764869
22.099999999999998,0.9,1.8,0.20249349545667808
22.099999999999998,0.9,1.9000000000000001,0.4795302065902444
22.099999999999998,0.9,2,0.3840689372119555
22.099999999999998,0.9,2.1,0.24896576358359826
22.099999999999998,0.9,2.2,0.48595607973553306
