tract_new,county,pop100,intptlat,intptlon,tract
012020505,012,939,33.5623754,-114.2025444,020505
012020602,012,983,33.184794,-114.6172497,020602
012940200,012,3414,34.1504951,-114.2903545,940200
012940300,012,3622,33.8749524,-114.3598873,940300
013010102,013,5592,33.7128794,-111.5743081,010102
013010103,013,3779,33.7535864,-111.7538552,010103
013010104,013,2989,33.7346108,-111.6804374,010104
013030401,013,4882,33.8175437,-111.9168671,030401
013030402,013,3913,33.8615277,-111.938807,030402
013040502,013,4820,33.9760918,-112.7494475,040502
013040506,013,5809,33.6577414,-112.3366887,040506
013040507,013,6362,33.6569045,-112.362634,040507
013040512,013,1732,33.6772529,-112.3904639,040512
013040513,013,3071,33.6746354,-112.3658563,040513
013040514,013,3315,33.6751948,-112.3382757,040514
013040515,013,4189,33.8241902,-113.0044501,040515
013040516,013,7427,33.6767067,-112.7240487,040516
013040522,013,4230,33.6874823,-112.3771475,040522
013040523,013,3333,33.690735599999996,-112.3477585,040523
013040524,013,1662,33.6759453,-112.4169856,040524
013040525,013,3037,33.6607653,-112.4269715,040525
013040526,013,2431,33.6454883,-112.4432741,040526
013040527,013,4434,33.6463218,-112.4265743,040527
013040528,013,6026,33.6527184,-112.4037208,040528
013040529,013,3603,33.6641908,-112.3937125,040529
013040530,013,3729,33.6438075,-112.3838942,040530
013040531,013,3757,33.6451281,-112.3676447,040531
013040532,013,6632,33.7031905,-112.3063617,040532
013040533,013,2500,33.7107807,-112.3333009,040533
013040534,013,3431,33.737724300000004,-112.331158,040534
013040535,013,5823,33.8465824,-112.3603756,040535
013040536,013,6248,33.7485027,-112.3190631,040536
013040537,013,2223,33.7675559,-112.3036934,040537
013040538,013,4385,33.7097997,-112.3875564,040538
013040539,013,6356,33.8643039,-112.5381576,040539
013040540,013,5684,33.6917028,-112.4962657,040540
013040541,013,4309,33.7565722,-112.5578347,040541
013050603,013,4592,33.3162347,-113.0618727,050603
013050604,013,3871,33.3568036,-112.7756801,050604
013050609,013,6343,33.4524436,-112.5356941,050609
013050611,013,7114,33.3845494,-112.5164544,050611
013050612,013,9560,33.448367,-112.4930588,050612
013050613,013,5523,33.4217311,-112.4953171,050613
013050614,013,5040,33.4273116,-112.5456874,050614
013050615,013,5624,33.4266011,-112.5727511,050615
013050616,013,3676,33.4208764,-112.6071597,050616
013050617,013,5312,33.3840036,-112.6293503,050617
013050618,013,6427,33.4838138,-112.5029196,050618
013050619,013,7507,33.4947209,-112.4843023,050619
013050620,013,7835,33.5419142,-112.5780922,050620
013050621,013,8644,33.5421899,-112.7460201,050621
013050701,013,7711,33.3850893,-112.5817883,050701
013050702,013,6555,33.3707199,-112.582303,050702
013060801,013,5282,33.6318859,-112.3316377,060801
013060802,013,3306,33.6197635,-112.3143932,060802
013060901,013,5053,33.6182651,-112.3341975,060901
013060902,013,3514,33.612051,-112.3261717,060902
013060903,013,5505,33.60171,-112.3203341,060903
013060904,013,3915,33.6016684,-112.3110112,060904
013061010,013,6267,33.4989522,-112.3594703,061010
013061011,013,7598,33.5323577,-112.3264989,061011
013061013,013,6049,33.5013997,-112.3261467,061013
013061014,013,6517,33.4834525,-112.325033,061014
013061015,013,6037,33.4723401,-112.3316542,061015
013061017,013,3288,33.471398,-112.4375771,061017
013061018,013,5301,33.4866763,-112.4004935,061018
013061020,013,3865,33.4857395,-112.3677102,061020
013061021,013,2024,33.4847062,-112.3482487,061021
013061024,013,2391,33.4137948,-112.3997843,061024
013061026,013,5922,33.6315885,-112.4181095,061026
013061027,013,5496,33.6314831,-112.4017435,061027
013061028,013,3182,33.6344581,-112.3676149,061028
013061029,013,5174,33.6311855,-112.3506834,061029
013061031,013,6566,33.5970904,-112.4331614,061031
013061032,013,6108,33.6183909,-112.40273,061032
013061033,013,6360,33.6117732,-112.3839564,061033
013061034,013,7464,33.6165068,-112.3678926,061034
013061035,013,7099,33.6163866,-112.3507002,061035
013061036,013,5176,33.5877401,-112.4030248,061036
013061037,013,6238,33.6022107,-112.3851425,061037
013061038,013,4992,33.5876988,-112.3850313,061038
013061039,013,6004,33.5955848,-112.361302,061039
013061040,013,4567,33.6019505,-112.3378089,061040
013061041,013,4734,33.601576,-112.329193,061041
013061042,013,2384,33.5875997,-112.3173497,061042
013061043,013,2827,33.5727973,-112.333106,061043
013061044,013,9294,33.5627619,-112.4016614,061044
013061045,013,7940,33.5300157,-112.422807,061045
013061046,013,5844,33.5295927,-112.3500769,061046
013061047,013,3885,33.5133669,-112.3503455,061047
013061048,013,4079,33.4688752,-112.3538833,061048
