alpha,beta,gamma,pop_dif
11.1,0.9,0,0.6520357408558535
11.1,0.9,0.1,0.29167949738351756
11.1,0.9,0.2,0.2964208482951378
11.1,0.9,0.30000000000000004,0.36061504718969933
11.1,0.9,0.4,0.36065590992321667
11.1,0.9,0.5,0.5166778571650804
11.1,0.9,0.6000000000000001,0.1950736148556658
11.1,0.9,0.7000000000000001,0.3954419813315519
11.1,0.9,0.8,0.23878344139455332
11.1,0.9,0.9,0.20090812154978732
11.1,0.9,1,0.4998823793811055
11.1,0.9,1.1,0.21034396809571287
11.1,0.9,1.2000000000000002,0.3869144785867707
11.1,0.9,1.3,0.5059179188668307
11.1,0.9,1.4000000000000001,0.38252504487663125
11.1,0.9,1.5,0.3007523299605648
11.1,0.9,1.6,0.3818103358510817
11.1,0.9,1.7000000000000002,0.2362480935924474
11.1,0.9,1.8,0.801618224666143
11.1,0.9,1.9000000000000001,0.765562883810238
11.1,0.9,2,0.19732638435672242
11.1,0.9,2.1,0.37613469352468226
11.1,0.9,2.2,0.147350733024518
11.1,0.9,2.3000000000000003,0.29184377384780497
11.1,0.9,2.4000000000000004,0.7123404758016602
11.1,0.9,2.5,0.09119923266436414
11.2,0.9,0,0.54487770081953
11.2,0.9,0.1,0.42821908035284934
-1,-1,NA,-1
11.2,0.9,0.30000000000000004,0.5887753278024879
11.2,0.9,0.4,0.4394407497498096
11.2,0.9,0.5,0.4804412298852205
11.2,0.9,0.6000000000000001,0.5796069030028398
11.2,0.9,0.7000000000000001,0.37264446917246297
11.2,0.9,0.8,0.3757898002933544
11.2,0.9,0.9,0.39568683726320075
11.2,0.9,1,0.4619782151108571
11.2,0.9,1.1,0.330971247072906
11.2,0.9,1.2000000000000002,0.21299019679431572
11.2,0.9,1.3,0.6408597944941415
11.2,0.9,1.4000000000000001,0.23738336020323417
11.2,0.9,1.5,0.19343587102207468
11.2,0.9,1.6,0.20601208287564865
11.2,0.9,1.7000000000000002,0.37145270624777016
11.2,0.9,1.8,0.7838345522686752
11.2,0.9,1.9000000000000001,0.3119538308489356
11.2,0.9,2,0.21866159321670747
11.2,0.9,2.1,0.3858772487801167
11.2,0.9,2.2,0.147350733024518
11.2,0.9,2.3000000000000003,0.7206156206129718
11.2,0.9,2.4000000000000004,0.38020801947621513
11.2,0.9,2.5,0.09119923266436414
11.299999999999999,0.9,0,0.26072223593866983
11.299999999999999,0.9,0.1,0.5089845999379863
11.299999999999999,0.9,0.2,0.512498233685488
11.299999999999999,0.9,0.30000000000000004,0.38128546135278524
11.299999999999999,0.9,0.4,0.3161624006055709
11.299999999999999,0.9,0.5,0.43320781635301087
11.299999999999999,0.9,0.6000000000000001,0.5694735066532293
11.299999999999999,0.9,0.7000000000000001,0.4096258634310369
11.299999999999999,0.9,0.8,0.2806918305321995
11.299999999999999,0.9,0.9,0.2068484241033214
11.299999999999999,0.9,1,0.4321210001748557
11.299999999999999,0.9,1.1,0.17820341153868546
11.299999999999999,0.9,1.2000000000000002,0.40493408097453315
11.299999999999999,0.9,1.3,0.4502195511327682
11.299999999999999,0.9,1.4000000000000001,0.4649981860669676
11.299999999999999,0.9,1.5,0.44227827187167745
11.299999999999999,0.9,1.6,0.3812666729663524
11.299999999999999,0.9,1.7000000000000002,0.38203815103413513
11.299999999999999,0.9,1.8,0.34734529365416084
11.299999999999999,0.9,1.9000000000000001,0.7060784766774708
11.299999999999999,0.9,2,0.37393269612495894
11.299999999999999,0.9,2.1,0.37408749158034627
11.299999999999999,0.9,2.2,0.21882626570356903
11.299999999999999,0.9,2.3000000000000003,0.2916163131067142
11.299999999999999,0.9,2.4000000000000004,0.09119923266436414
11.299999999999999,0.9,2.5,0.09119923266436414
11.4,0.9,0,0.5635813059272694
11.4,0.9,0.1,0.47401509728377583
11.4,0.9,0.2,0.4336616587665033
11.4,0.9,0.30000000000000004,0.7721858005816474
11.4,0.9,0.4,0.24136470072769434
11.4,0.9,0.5,0.5365916784434877
11.4,0.9,0.6000000000000001,0.356071399320305
11.4,0.9,0.7000000000000001,0.39849483854883466
11.4,0.9,0.8,0.1708090809964063
11.4,0.9,0.9,0.42152107785488
11.4,0.9,1,0.0662772222891891
11.4,0.9,1.1,0.1756647158941633
11.4,0.9,1.2000000000000002,0.3221056194989844
11.4,0.9,1.3,0.32914723199265944
11.4,0.9,1.4000000000000001,0.4943389664519887
11.4,0.9,1.5,0.4094517417433609
11.4,0.9,1.6,0.959290750443219
11.4,0.9,1.7000000000000002,0.365582228541815
11.4,0.9,1.8,0.7011598796793107
11.4,0.9,1.9000000000000001,0.6729543589510742
11.4,0.9,2,0.7854748702657123
11.4,0.9,2.1,0.23697412074409022
11.4,0.9,2.2,0.24098210963560973
11.4,0.9,2.3000000000000003,0.14302593523931909
11.4,0.9,2.4000000000000004,0.09119923266436414
11.4,0.9,2.5,0.09119923266436414
11.5,0.9,0,0.30147881172600144
11.5,0.9,0.1,0.4420845331447812
11.5,0.9,0.2,0.4992267560524591
11.5,0.9,0.30000000000000004,0.24542365923613324
11.5,0.9,0.4,0.46508067066097175
11.5,0.9,0.5,0.3211358915469603
11.5,0.9,0.6000000000000001,0.4425183730186482
11.5,0.9,0.7000000000000001,0.5559967002791831
11.5,0.9,0.8,0.49387794849375466
11.5,0.9,0.9,0.17183708572657186
11.5,0.9,1,0.38322070962784927
11.5,0.9,1.1,0.172556381955559
11.5,0.9,1.2000000000000002,0.17619807818634564
11.5,0.9,1.3,0.23053627227795617
11.5,0.9,1.4000000000000001,0.30246636821313777
11.5,0.9,1.5,0.16240612789590458
11.5,0.9,1.6,0.11370036530686894
11.5,0.9,1.7000000000000002,0.20459570000831429
11.5,0.9,1.8,0.39326020415376567
11.5,0.9,1.9000000000000001,0.42038253418640203
11.5,0.9,2,0.4676115106362333
11.5,0.9,2.1,0.2270793113941226
11.5,0.9,2.2,0.1926790750701784
11.5,0.9,2.3000000000000003,0.20571440303180463
11.5,0.9,2.4000000000000004,0.4615748174629624
11.5,0.9,2.5,0.09119923266436414
11.6,0.9,0,0.4052856187484063
11.6,0.9,0.1,0.3559471901346835
11.6,0.9,0.2,0.4323043055822839
11.6,0.9,0.30000000000000004,0.3400335304152651
11.6,0.9,0.4,0.3945031450066263
11.6,0.9,0.5,0.6392541171751387
11.6,0.9,0.6000000000000001,0.37986539951016307
11.6,0.9,0.7000000000000001,0.5191284900473446
11.6,0.9,0.8,0.19362793079787308
11.6,0.9,0.9,0.29017088296237653
11.6,0.9,1,0.4095405674575775
11.6,0.9,1.1,0.40628723802273803
11.6,0.9,1.2000000000000002,0.4357771278566215
11.6,0.9,1.3,0.17206366941485066
-1,-1,NA,-1
11.6,0.9,1.5,0.45937949851913257
11.6,0.9,1.6,0.4694877666260343
11.6,0.9,1.7000000000000002,0.16039288075411712
