tract_new,county,pop100,intptlat,intptlon,tract
001950100,001,4641,31.99769931724138,-95.52291690977012,950100
001950401,001,5782,31.745255938095237,-95.82707601904762,950401
001950402,001,7115,31.788501018918918,-95.90350921891891,950402
001950500,001,4479,31.775738507253887,-95.63014636217616,950500
001950600,001,6036,31.750271036820084,-95.65983316610878,950600
001950700,001,2564,31.75571286368715,-95.63343719050279,950700
001950800,001,5427,31.74627667090909,-95.61549978060606,950800
001950901,001,5281,31.72379231442786,-95.70983220845771,950901
001950902,001,5090,31.797787171698115,-95.5290530645283,950902
001951001,001,3618,31.643488907741936,-95.45449103290322,951001
001951002,001,3501,31.61936614520548,-95.61040550753425,951002
001951100,001,4388,31.896824161963192,-95.83295764355829,951100
003950100,003,2405,32.383027144299064,-102.62520326654206,950100
003950200,003,7710,32.32722651674009,-102.55339989603524,950200
003950300,003,4668,32.31564707004405,-102.54996804889868,950300
003950400,003,3827,32.215955988433734,-102.47546731566266,950400
005000102,005,4983,31.344393992617448,-94.85157896107383,000102
005000103,005,3440,31.44410844927536,-94.7755057884058,000103
005000104,005,2974,31.42464305479452,-94.88189918356164,000104
005000201,005,3138,31.30582425818182,-94.681725,000201
005000202,005,3558,31.393086575396826,-94.68213074206349,000202
005000301,005,5413,31.36714919495798,-94.77007009663866,000301
005000302,005,5319,31.290460646875,-94.7763570734375,000302
005000400,005,5361,31.340885008333334,-94.74720016944444,000400
005000500,005,3640,31.362649965128206,-94.73502693282052,000500
005000600,005,5836,31.35073024638554,-94.70276950481927,000600
005000700,005,3070,31.337161701226993,-94.72557156257669,000700
005000800,005,6165,31.31878046491228,-94.70674329736842,000800
005000902,005,3731,31.284314840476192,-94.72978922857143,000902
005000903,005,3245,31.312494934042554,-94.7618912574468,000903
005000904,005,3269,31.3190683721519,-94.74125436835443,000904
005001001,005,5043,31.196844015025906,-94.7915442476684,001001
005001002,005,4035,31.187950089634146,-94.74009289268292,001002
005001101,005,3396,31.272690931764707,-94.6110125,001101
005001102,005,3056,31.337254559302327,-94.57854398488372,001102
005001200,005,2594,31.15042323064516,-94.37759841209677,001200
005001300,005,5129,31.222701794930877,-94.52879663963134,001300
007950101,007,1300,28.145100285436893,-96.97408943009708,950101
007950102,007,3424,28.07276054909091,-97.0410416139394,950102
007950103,007,1257,28.07146559,-97.088365325,950103
007950200,007,1000,28.038758543103448,-97.0360197586207,950200
007950301,007,3734,28.0309909421875,-97.06092220351563,950301
007950302,007,2768,28.051631122222222,-97.05141859166667,950302
007950400,007,3349,28.016092150574714,-97.06681102643678,950400
007950501,007,2614,28.00659963235294,-97.1468674882353,950501
007950502,007,1761,27.926698484,-97.13480638666667,950502
007950503,007,2623,27.97178701119403,-97.07974592910448,950503
009020100,009,2897,33.81370746,-98.55819047444444,020100
009020200,009,2442,33.6704004890625,-98.7814674015625,020200
009020300,009,3221,33.576241792151166,-98.56243146540697,020300
011950100,011,1848,35.04093087700348,-101.37200506184669,950100
013960101,013,3474,29.03276865,-98.45504297578125,960101
013960102,013,3771,28.873765809785933,-98.36506715321102,960102
013960203,013,2906,29.22819025368421,-98.79478586,960203
013960204,013,4153,29.159101736,-98.726734382,960204
013960205,013,6022,29.104056694285713,-98.65766428571429,960205
013960206,013,5493,29.131296669902913,-98.58545184174757,960206
013960300,013,3135,29.03936499020979,-98.5755512027972,960300
013960401,013,2391,29.09587364142857,-98.49789206285715,960401
013960403,013,4747,28.958868167785234,-98.49333956711409,960403
013960404,013,4063,28.97491021917808,-98.50383532328767,960404
013960500,013,2533,28.838086881690142,-98.70786993333333,960500
013960601,013,2512,28.938036622543354,-98.55995657803469,960601
013960602,013,3781,28.831175051623376,-98.50972857402597,960602
015760100,015,2464,29.647669158959538,-96.08564966878613,760100
015760201,015,2078,29.80582908984375,-96.11801780390626,760201
015760202,015,4450,29.763713666887416,-96.11558458675496,760202
015760301,015,2773,29.81272240188679,-96.19093669433963,760301
015760302,015,5043,29.769700679581153,-96.21858471727748,760302
015760400,015,3505,29.950064719565216,-96.4727637807971,760400
015760501,015,4543,29.998444644444444,-96.28147819876543,760501
015760502,015,5311,29.936624264732142,-96.20850208482143,760502
017950101,017,4002,34.22525121666666,-102.73619731896552,950101
017950102,017,2902,34.09919001820359,-102.81386536658682,950102
019000101,019,4705,29.717648936190475,-99.05667116380953,000101
019000103,019,3913,29.772661020731707,-99.08871279817073,000103
019000104,019,1259,29.76235870172414,-98.93551916896551,000104
019000200,019,2394,29.7636297340694,-99.38824300378549,000200
019000301,019,3304,29.644139221333333,-98.98476333400001,000301
019000302,019,3067,29.667939762666666,-98.88507033733333,000302
019000400,019,2209,29.584967725862068,-98.94722201637931,000400
021950101,021,5554,30.26254866039604,-97.40299947326733,950101
021950102,021,6373,30.319114606593406,-97.27921716648352,950102
021950201,021,3299,30.346116503,-97.363627584,950201
021950202,021,5631,30.347065688387097,-97.3773807832258,950202
021950301,021,5236,30.135223357971014,-97.40408166521739,950301
021950302,021,4729,30.057651071084337,-97.36054867590362,950302
021950303,021,7638,30.117243702380954,-97.46286360714286,950303
021950401,021,5226,30.116735185,-97.3141783775,950401
021950402,021,2390,30.088864097058824,-97.28729974705882,950402
021950403,021,3159,30.094571137068964,-97.31487289224138,950403
021950503,021,4028,30.132684686363636,-97.18334164090909,950503
021950504,021,3923,30.196606411290322,-97.19462835806452,950504
021950505,021,5052,30.21426089019608,-97.28744139019608,950505
021950506,021,5340,30.173757302061855,-97.31624444226804,950506
021950601,021,4017,29.939148895027625,-97.26333954088398,950601
021950602,021,2323,30.05231433695652,-97.11469346086956,950602
021950700,021,4554,30.007189820853082,-97.15631805687204,950700
021950803,021,3452,30.124882714814813,-97.57209406666666,950803
021950804,021,5269,30.056205882608694,-97.51397732173913,950804
021950805,021,6745,30.053661333333334,-97.58538099444445,950805
021950806,021,3278,29.956974879452055,-97.45338820821918,950806
023950301,023,1403,33.596145382857145,-99.25539306357143,950301
023950302,023,2062,33.596929604375,-99.260008475625,950302
025950100,025,1712,28.596610609433963,-97.86672327264151,950100
025950201,025,8083,28.33161601640625,-97.59255906796875,950201
025950203,025,2088,28.37921808,-97.8262785848,950203
025950204,025,2910,28.4532676528169,-97.6956313471831,950204
025950300,025,5135,28.413852511200002,-97.753919818,950300
025950400,025,1907,28.404765086567163,-97.74843213134328,950400
025950501,025,3394,28.39764128433735,-97.73853450722892,950501
025950502,025,3545,28.39106630165289,-97.74858121157025,950502
025950600,025,2273,28.224522078761062,-97.69873141017699,950600
027020101,027,3037,31.22111975591398,-97.33324326021506,020101
027020102,027,4219,31.12406156300578,-97.22127575317919,020102
027020201,027,8787,31.132870117105263,-97.4717929868421,020201
027020203,027,4549,31.163448264539007,-97.46292530638299,020203
027020204,027,2741,31.22205150582524,-97.45770494563106,020204
027020301,027,9333,31.09835634347826,-97.43256697652174,020301
027020302,027,5641,31.137168056934307,-97.41644305547446,020302
027020401,027,3564,31.132118447058822,-97.35078124201681,020401
027020402,027,2926,31.11529347195122,-97.30589066707317,020402
027020500,027,3825,31.113240247572815,-97.33299485048543,020500
027020600,027,2477,31.11346687596154,-97.34078988365384,020600
027020701,027,1438,31.097756747368422,-97.34079726754386,020701
027020702,027,1522,31.095660209848486,-97.35164496818182,020702
027020800,027,3169,31.083078588,-97.3249095264,020800
027020900,027,3052,31.067750988764043,-97.3369201988764,020900
027021000,027,4255,31.084030609774437,-97.35365831503759,021000
027021101,027,2585,31.081828085,-97.376960135,021101
027021102,027,3233,31.09003796,-97.36925087882354,021102
027021201,027,3654,31.11368902285714,-97.38711118571429,021201
027021202,027,3953,31.100647338235294,-97.37886582058823,021202
027021203,027,4271,31.081740236153845,-97.40238476846154,021203
027021301,027,4796,31.057621239285716,-97.38265298035714,021301
027021302,027,2956,31.06963997972973,-97.38828119324324,021302
027021304,027,4955,31.06116543111111,-97.36811221333333,021304
027021305,027,7313,31.044651007964603,-97.37363181061947,021305
027021400,027,4352,31.012423113986014,-97.355070706993,021400
027021501,027,3940,31.04396275168539,-97.4566985730337,021501
027021502,027,4594,31.021910728735634,-97.47509405057471,021502
027021601,027,6785,31.05615391047619,-97.4690149504762,021601
027021602,027,2653,31.068158575362318,-97.47213781594203,021602
027021701,027,5673,31.101009325675676,-97.49181774864864,021701
027021702,027,4454,31.073923014285715,-97.45567686593407,021702
027021801,027,5635,31.07825212421875,-97.59850746171875,021801
027021802,027,5065,31.053558187769784,-97.56947859640287,021802
027021901,027,3442,31.077523320212766,-97.66585134468085,021901
027021905,027,4749,31.064626924285715,-97.66397822428571,021905
027021906,027,5732,31.050870766666666,-97.66566989545454,021906
027021907,027,4924,31.070111984090907,-97.63598512045455,021907
027021908,027,7739,31.04625011782178,-97.64144467326733,021908
027022001,027,4168,31.087592304285714,-97.66265147857143,022001
027022002,027,4769,31.1182010127907,-97.58855341627907,022002
027022101,027,4102,31.12680516764706,-97.70003045882353,022101
027022103,027,5053,31.131980891935484,-97.69166378387096,022103
027022104,027,4212,31.119936162,-97.67577003,022104
027022105,027,2216,31.12653355333333,-97.67256940666667,022105
027022200,027,3827,31.115034031707317,-97.6947720902439,022200
027022300,027,3811,31.101726293577983,-97.69796409449542,022300
027022401,027,5741,31.095567420289854,-97.70945249275363,022401
027022402,027,7003,31.049048852380952,-97.68299860357143,022402
027022403,027,4597,31.06841416935484,-97.70388723387097,022403
027022405,027,2183,31.081242211764707,-97.7121751764706,022405
027022406,027,3979,31.069956766666667,-97.68896526944444,022406
027022407,027,3931,31.06105291509434,-97.69794315849056,022407
027022501,027,3573,31.102202138596493,-97.72446343157895,022501
027022503,027,5434,31.078047701785714,-97.72761505892858,022503
027022504,027,8790,31.049779434,-97.725456644,022504
027022600,027,4242,31.122160423958334,-97.71858509375,022600
027022801,027,2653,31.13033436956522,-97.72780495652174,022801
027022900,027,3649,31.112187755172414,-97.73690624310345,022900
027023001,027,6167,31.066469495522387,-97.75106661343284,023001
027023002,027,4170,31.098184353846154,-97.73615409230769,023002
027023103,027,4450,31.097893102898553,-97.7536213594203,023103
027023104,027,3253,31.107162035,-97.75603273666667,023104
027023109,027,3903,31.087870501851853,-97.76789038518518,023109
027023110,027,3832,31.08575766923077,-97.75218579615385,023110
027023111,027,5279,31.102002081944445,-97.80065246805556,023111
027023112,027,5062,31.102482325,-97.7899783673077,023112
027023113,027,5033,31.107396481395348,-97.77624985116279,023113
027023114,027,4350,31.101037395161292,-97.77044103387097,023114
027023115,027,4688,31.09076525471698,-97.78252003396226,023115
027023116,027,6188,31.086054585714287,-97.80895006938775,023116
027023117,027,5553,31.0722860765625,-97.7789073203125,023117
027023118,027,7404,31.069431966666667,-97.80260756031745,023118
027023201,027,1781,31.127959840425532,-97.75358405531915,023201
027023202,027,4915,31.127238306666666,-97.78020672962963,023202
027023203,027,2607,31.11699879,-97.7539785025,023203
027023204,027,3731,31.137863139436618,-97.72958189859155,023204
