district,county,population,lat,long
1,19,3389,31.8734718,-110.9841747
1,19,4529,32.0273642,-111.2708388
1,19,3106,31.7500778,-111.3591984
1,19,3160,31.8736368,-110.9930679
1,19,3020,31.789241,-111.0148197
1,19,1914,31.8204799,-111.0919521
1,19,4054,31.9323604,-110.9733153
1,19,5257,31.9439239,-111.0346923
1,19,3425,31.8436993,-111.0372744
1,19,1806,31.8565598,-111.0026339
1,19,1818,31.8694458,-111.0155247
1,19,2360,31.8907711,-111.0020221
1,19,1411,31.880825,-111.0114759
1,19,6585,32.1238528,-111.1570535
1,19,5798,32.4435325,-111.3215581
1,19,4108,32.3354012,-111.1799972
1,19,3857,32.131615,-111.3141621
1,19,6305,32.3829457,-111.4550797
1,19,2673,32.3494027,-111.0916376
1,19,3274,32.4316723,-111.2554718
1,19,6579,32.4088335,-111.1833437
1,19,3208,32.2132631,-111.168207
1,19,4883,32.3870961,-111.1442048
1,19,3086,32.3719004,-111.1126771
1,19,3542,32.375874,-111.1261633
1,19,3208,32.345265499999996,-111.1093926
1,19,4758,32.3511105,-111.1274296
1,19,2162,32.388118,-111.0635509
1,19,3623,32.3844195,-111.0383759
1,19,1892,32.4081761,-111.0348829
1,19,5188,32.4031958,-110.9893822
1,19,7100,32.4168477,-110.9869521
1,19,5243,32.4032681,-111.0987958
1,19,6933,32.4623919,-110.9936889
1,19,3847,32.4311735,-110.9884729
1,19,4918,32.434295,-110.9530122
1,19,4158,32.4847191,-110.9509149
1,19,2579,32.3688821,-111.0576095
1,19,5591,32.3719508,-111.0733943
1,19,6691,32.4720237,-111.1476931
1,19,1630,32.4757317,-111.0349044
1,19,5778,32.4354038,-111.0595232
1,19,4647,32.4986703,-110.9048382
1,19,2886,32.4744949,-110.8618807
1,19,3604,32.4123628,-110.8318648
1,19,3871,32.2429338,-110.7277103
1,19,3997,31.9690517,-111.8293137
1,19,2421,32.1975179,-112.3172296
1,21,5996,33.3617396,-111.2381286
1,21,2418,33.2774212,-111.0850209
1,21,6079,32.5226621,-110.9026082
1,21,4731,32.5506259,-110.8592663
1,21,3114,32.6060297,-110.6471133
1,21,5548,32.7476259,-111.1996372
1,21,6168,33.0423041,-111.2722291
1,21,3180,32.572142,-111.520831
1,21,4068,32.8401884,-110.8896496
1,21,2109,33.1734414,-111.1026491
1,21,1420,32.8240189,-110.5867622
1,23,2965,31.5664619,-110.6410279
1,23,3068,31.6437417,-111.0437434
1,23,1209,31.412766,-110.9438111
1,23,2091,31.4535648,-111.1181423
1,23,1647,31.4614664,-111.0176299
1,23,6249,31.4430385,-110.987498
1,23,3261,31.4563293,-110.8401292
1,23,1547,31.4586955,-110.8945715
1,23,6011,31.4597107,-110.9549123
1,23,4751,31.3636472,-110.9638634
1,23,4243,31.3729012,-110.8992853
1,23,3379,31.35567,-110.9236065
1,23,3230,31.349749,-110.947213
1,23,4018,31.341319,-110.942013
2,13,6632,33.7031905,-112.3063617
2,13,2223,33.7675559,-112.3036934
2,13,4959,33.6103118,-112.2784919
2,13,3721,33.628581,-112.2828839
2,13,4183,33.6251239,-112.2657735
2,13,5603,33.6235809,-112.2284614
2,13,4402,33.6032519,-112.2114133
2,13,3890,33.631369,-112.2099467
2,13,6246,33.6029139,-112.2289092
2,13,1758,33.6185011,-112.2129207
2,13,3896,33.6307614,-112.245213
2,13,3704,33.6164861,-112.2476616
2,13,4561,33.6033854,-112.260685
2,13,3961,33.6010767,-112.2466222
2,13,5090,33.5901306,-112.2765983
2,13,6435,33.588797,-112.2115599
2,13,6331,33.5740472,-112.2472931
2,13,4178,33.5726323,-112.2661232
2,13,7132,33.5884666,-112.2289674
2,13,3246,33.5737302,-112.228584
2,13,2695,33.5857869,-112.255389
2,13,5423,33.5892199,-112.2456888
2,13,3245,33.5742426,-112.215934
2,13,3617,33.5743756,-112.2072845
2,13,4286,33.5745857,-112.1946101
2,13,6363,33.574718,-112.1775505
2,13,6486,33.5587571,-112.1781458
2,13,7108,33.5747161,-112.160306
2,13,5566,33.5603104,-112.1603196
2,13,3313,33.56024,-112.1883998
2,13,6380,33.5600972,-112.1967543
2,13,4635,33.5457803,-112.1643912
2,13,3679,33.5457875,-112.1558536
2,13,5616,33.5457957,-112.1774088
2,13,3209,33.5456908,-112.1945977
2,13,4609,33.5453624,-112.2117335
2,13,2000,33.5587797,-112.2637587
2,13,5044,33.5591592,-112.2464157
2,13,3537,33.5450265,-112.22906330000001
2,13,5499,33.5306136,-112.2290551
2,13,5080,33.5161554,-112.2290962
2,13,4674,33.5200387,-112.2117697
2,13,4206,33.5128115,-112.2118298
2,13,5393,33.5345116,-112.2117591
2,13,4016,33.5272643,-112.2118198
2,13,3593,33.5447591,-112.2463813
2,13,5374,33.5348379,-112.1946566
2,13,5636,33.5275918,-112.1946753
2,13,3027,33.5312702,-112.1774451
2,13,6328,33.5338273,-112.1606547
2,13,4510,33.5273072,-112.1592147
2,13,4984,33.5192182,-112.1573863
2,13,5537,33.5158664,-112.1712744
2,13,5816,33.5203394,-112.1947048
2,13,4459,33.5130874,-112.1947392
2,13,4211,33.5596351,-112.220382
2,13,4435,33.6326258,-112.1078795
2,13,5820,33.6145262,-112.1092895
2,13,6350,33.6036014,-112.1053243
2,13,7434,33.6036114,-112.1252567
2,13,7141,33.6180459,-112.1251214
2,13,5361,33.6179906,-112.1424429
2,13,6615,33.589357,-112.1440635
2,13,3535,33.5912674,-112.1566742
2,13,5715,33.5741887,-112.1290932
2,13,4240,33.5723303,-112.1454437
2,13,4380,33.6326309,-112.1249043
2,13,6357,33.6035807,-112.1425789
2,13,2167,33.6320299,-112.1772004
2,13,4371,33.6318197,-112.1941601
2,13,4976,33.6181823,-112.194959
2,13,5604,33.6179599,-112.1771528
2,13,4293,33.617939,-112.1598429
2,13,3738,33.6035315,-112.1599699
2,13,6125,33.5885017,-112.1766306
2,13,6058,33.5890646,-112.1944668
2,13,1798,33.6043789,-112.1938253
2,13,6118,33.604454,-112.1784017
2,13,3760,33.6315079,-112.1617063
2,13,4873,33.6323204,-112.1425101
2,13,2350,33.5863574,-112.1635857
2,13,3805,33.5891286,-112.1287875
2,13,3963,33.5896579,-112.1208241
2,13,5144,33.5892316,-112.1082097
2,13,2637,33.5792297,-112.1095653
2,13,2587,33.5603767,-112.1126416
2,13,1915,33.5639656,-112.1039407
2,13,3835,33.5572235,-112.1031276
2,13,4262,33.560326,-112.1212698
2,13,6810,33.5603307,-112.1299018
2,13,3605,33.5603231,-112.147316
2,13,4290,33.5603167,-112.1385793
2,13,7245,33.5458039,-112.142951
2,13,5991,33.5458104,-112.1256272
2,13,1843,33.5458512,-112.1145949
2,13,3039,33.5494847,-112.1059643
2,13,3628,33.5422388,-112.1059155
2,13,4785,33.531319,-112.1145492
2,13,3569,33.5313801,-112.1059165
2,13,7793,33.5312722,-112.1255879
2,13,4391,33.5311974,-112.1472318
2,13,4151,33.531208,-112.1385724
2,13,4505,33.520446,-112.142776
2,13,5963,33.5132101,-112.1430654
2,13,8139,33.5130999,-112.1255712
2,13,5180,33.5203754,-112.1255921
2,13,4338,33.5021972,-112.1429058
2,13,4767,33.5022028,-112.1602166
2,13,4422,33.4986169,-112.1776574
2,13,4049,33.5058621,-112.177581
2,13,5432,33.5025844,-112.1933395
2,13,6567,33.4993779,-112.2135258
2,13,4188,33.5054627,-112.2094968
2,13,5280,33.4910701,-112.2075331
2,13,4344,33.4876201,-112.1991683
2,13,4913,33.4877584,-112.1907502
2,13,7653,33.4876506,-112.173325
2,13,4620,33.4868383,-112.1642623
2,13,4467,33.4921689,-112.1608184
2,13,5581,33.4768815,-112.1777032
2,13,3909,33.476804,-112.1948327
2,13,6842,33.7754306,-112.2443648
2,13,5541,33.7087381,-112.2429959
2,13,5035,33.7132576,-112.2818818
2,13,3818,33.7414632,-112.2720342
2,13,3187,33.731013,-112.2365683
2,13,3943,33.7218793,-112.2496844
2,13,6566,33.7109832,-112.2114564
2,13,6675,33.7281418,-112.1955267
2,13,7896,33.7248764,-112.1753903
2,13,3099,33.7200705,-112.1508346
2,13,6545,33.7051897,-112.1776261
2,13,6761,33.7055157,-112.1436291
2,13,3870,33.6829951,-112.295345
2,13,4321,33.681154,-112.2836805
2,13,4128,33.6744005,-112.2717005
2,13,5831,33.6890519,-112.265642
2,13,5646,33.6725855,-112.2539708
2,13,4199,33.68425,-112.2456847
2,13,6253,33.6832474,-112.2302659
2,13,4270,33.689017,-112.2117434
2,13,6700,33.6735234,-112.2158116
2,13,4732,33.6834538,-112.1965221
2,13,3023,33.6918675,-112.1616595
2,13,4016,33.6769046,-112.1421875
2,13,3521,33.6764043,-112.1302956
2,13,2085,33.6597472,-112.3007253
2,13,2756,33.6597444,-112.2813921
2,13,2988,33.6612565,-112.265831
