district,county,population,lat,long
1,151,2881,35.7228398,-79.6116284
1,151,4446,35.7780822,-79.6126489
1,151,3349,35.7832131,-79.7372439
1,151,2397,35.7597542,-79.6997149
1,151,5184,35.864023,-79.6000548
1,151,4298,35.8444486,-79.9215538
1,151,4713,35.8666648,-79.87869
1,151,3706,35.8717915,-79.8075195
1,151,4203,35.8645066,-79.6860767
1,151,2678,35.8881018,-79.7391965
1,151,5434,35.8248083,-79.7958262
1,151,3971,35.7838685,-79.7968141
1,151,6215,35.8529741,-80.0213606
1,151,3026,35.9045403,-79.9656115
1,151,5368,35.8980899,-79.9504024
1,151,3453,35.8570492,-79.9581482
1,151,4357,35.8953949,-80.0181477
1,151,1529,35.9134027,-79.9853519
1,157,3934,36.461968,-79.601979
1,157,2454,36.4335225,-79.5558505
1,157,3746,36.5189608,-79.680084
1,157,3866,36.4948633,-79.7383568
1,157,5851,36.5249226,-79.7607194
1,157,3534,36.5163684,-79.8114953
1,157,2811,36.4833574,-79.791443
1,157,3688,36.4998089,-79.8996425
1,157,4386,36.4328515,-79.8671963
1,157,4149,36.4489951,-79.9942531
1,157,1597,36.3910354,-79.9700192
1,157,2468,36.422529,-79.9483621
1,157,6437,36.3108592,-79.9756041
1,157,5903,36.3368906,-79.8799436
1,157,6485,36.4304117,-79.7310768
1,157,4962,36.3704045,-79.6751173
1,157,6374,36.3144265,-79.5853072
1,157,3019,36.3287231,-79.6524639
1,157,1338,36.3043263,-79.6907659
1,157,6035,36.3378615,-79.6772063
1,157,3323,36.3520484,-79.7600212
1,157,4736,36.2936869,-79.7558417
2,3,3248,35.9786489,-81.0654227
2,3,3877,35.9824254,-81.2466687
2,3,3090,35.8935399,-81.2619487
2,3,6503,35.9190953,-81.1748648
2,3,6560,35.864873,-81.0966473
2,3,6320,35.8589717,-81.1904395
2,3,6846,35.8302549,-81.3009365
2,5,4058,36.4788732,-81.0089677
2,5,3762,36.5270151,-81.1372473
2,5,3068,36.4954342,-81.232151
2,9,2497,36.5290589,-81.5408788
2,9,2390,36.4748945,-81.6702586
2,9,4360,36.4436205,-81.5603804
2,9,3511,36.4017373,-81.4475225
2,9,3007,36.4493645,-81.4706194
2,9,3356,36.3392756,-81.561917
2,9,2527,36.2998512,-81.4597506
2,9,2146,36.3988389,-81.3489861
2,9,2783,36.5088535,-81.4012665
2,11,3057,36.2037801,-81.9101337
2,11,3431,36.0498505,-81.8294281
2,11,3351,36.1128045,-81.9404824
2,11,3030,36.0958079,-82.0116573
2,11,4937,35.9886921,-81.980009
2,23,4048,35.8229658,-81.6671488
2,23,4377,35.7739461,-81.7359734
2,23,2860,35.8554345,-81.8755249
2,23,2792,35.8039948,-81.8008585
2,23,4691,35.7103261,-81.8190141
2,23,4698,35.6934159,-81.7632051
2,23,2741,35.6458032,-81.8012763
2,23,2969,35.7519415,-81.6986623
2,23,6363,35.7549587,-81.6728165
2,23,5219,35.7643139,-81.6150935
2,23,3249,35.7316409,-81.6304353
2,23,3598,35.7605357,-81.5425419
2,23,3421,35.7370901,-81.5571077
2,23,5165,35.7498858,-81.4646362
2,23,5946,35.7400742,-81.4160037
2,23,3564,35.697678,-81.5918285
2,23,3902,35.6923105,-81.4770785
2,23,4024,35.6503914,-81.5375599
2,23,5442,35.6808305,-81.6823365
2,23,3389,35.617954,-81.6582038
2,23,5112,35.7286661,-81.7121721
2,27,5614,35.916623800000004,-81.5413401
2,27,5208,35.9225523,-81.5827634
2,27,3798,35.8783948,-81.5561571
2,27,4547,35.8681457,-81.5174085
2,27,4792,35.9197451,-81.5071323
2,27,4438,35.8552621,-81.4788172
2,27,6690,35.8291934,-81.5107136
2,27,3538,35.8156554,-81.5551973
2,27,4108,35.8385388,-81.5916735
2,27,4686,35.9509252,-81.696243
2,27,2804,36.0575861,-81.6024925
2,27,4277,36.0001013,-81.4591576
2,27,4300,35.9347934,-81.3922821
2,27,4327,35.8670013,-81.4560294
2,27,4394,35.8004323,-81.3788142
2,27,4084,35.8334125,-81.3807762
2,27,3191,35.7931298,-81.4923341
2,27,3519,35.7730352,-81.4066631
2,27,2337,35.8162107,-81.4484348
2,35,6170,35.76899,-81.1370266
2,35,4318,35.7172641,-81.1720024
2,35,4760,35.78177,-81.2003345
2,35,3209,35.7529032,-81.2288099
2,35,5177,35.7222789,-81.2421456
2,35,5055,35.7888753,-81.257923
2,35,5913,35.7816209,-81.2997355
2,35,4248,35.7534983,-81.2686032
2,35,4424,35.738694,-81.2767062
2,35,5078,35.7460033,-81.3237246
2,35,5555,35.7661473,-81.3206069
2,35,2541,35.753099,-81.3124947
2,35,4092,35.750487,-81.3459404
2,35,3514,35.7850527,-81.3338145
2,35,6650,35.74377,-81.3655745
2,35,2651,35.7257957,-81.375382
2,35,3607,35.7214302,-81.3325203
2,35,2414,35.7196933,-81.2931583
2,35,3597,35.696628,-81.3846002
2,35,7367,35.6922129,-81.3254237
2,35,5949,35.6671478,-81.2289815
2,35,7488,35.6701747,-81.1936768
2,35,3518,35.6953693,-81.1390943
2,35,3982,35.6449024,-81.127896
2,35,4402,35.6116762,-81.1722526
2,35,4267,35.6698506,-81.2658481
2,35,7200,35.5977295,-81.2771671
2,35,6230,35.6536727,-81.4029024
2,35,5935,35.606288,-81.4079111
2,45,5060,35.5118631,-81.595982
2,45,2636,35.4191855,-81.6513063
2,45,4682,35.4081477,-81.5292883
2,45,4841,35.3533172,-81.4436889
2,45,5940,35.287794,-81.4128355
2,45,7224,35.2395219,-81.3663958
2,45,3707,35.2235948,-81.354016
2,45,4019,35.2401202,-81.4195326
2,45,3081,35.1943597,-81.3766656
2,45,2884,35.192722,-81.4673805
2,45,3659,35.28941,-81.4771935
2,45,3804,35.2714318,-81.5007483
2,45,4378,35.3432828,-81.5171013
