district,county,population,lat,long
1,43,3481,39.6322024,-77.7281455
1,43,3650,39.6363999,-77.7563341
1,43,4961,39.6195063,-77.7435479
1,43,4075,39.6149286,-77.7676712
1,43,1088,39.6977289,-77.4945899
1,43,4424,39.6969995,-77.5971707
1,43,7916,39.6971768,-77.7119677
1,43,4785,39.6880608,-77.7498273
1,43,6075,39.6863304,-77.7769444
1,43,5058,39.664138,-77.9737841
1,43,3370,39.6904975,-78.2272917
1,43,2639,39.5895516,-77.7992569
1,43,4514,39.6177447,-77.8001103
1,43,6495,39.5625675,-77.7648881
1,43,3247,39.5349281,-77.80217
1,43,5360,39.5596859,-77.7147954
1,43,6299,39.59521,-77.6975643
1,43,4658,39.6473052,-77.6434817
1,43,5672,39.6289329,-77.6565432
1,43,3775,39.635912,-77.6792365
1,43,5118,39.6519551,-77.5525835
1,43,3839,39.577408,-77.6277538
1,43,6024,39.5192622,-77.6586767
1,43,4354,39.4700178,-77.6803083
1,43,3598,39.378041,-77.7052745
1,43,2722,39.4488885,-77.7553407
1,43,5732,39.66146,-77.8581811
2,5,2785,39.2736815,-76.7127755
2,5,3058,39.279055,-76.7183222
2,5,3037,39.2847069,-76.7267257
2,5,2033,39.2880154,-76.7166223
2,5,3098,39.2794434,-76.7353675
2,5,6773,39.2981461,-76.7339812
2,5,955,39.3110803,-76.7306313
2,5,3138,39.3179076,-76.7179575
2,5,3872,39.2959395,-76.721918
2,5,2565,39.2946041,-76.7157345
2,5,6272,39.2992831,-76.7676124
2,5,4111,39.2949894,-76.7480081
2,5,5230,39.3116085,-76.7803118
2,5,6058,39.3133819,-76.7546838
2,5,5305,39.3529064,-76.7771634
2,5,6849,39.3452152,-76.754598
2,5,3609,39.3410651,-76.7389938
2,5,2055,39.3677873,-76.7428975
2,5,4025,39.3627619,-76.768278
2,5,6364,39.3599183,-76.7490595
2,5,2028,39.331835,-76.7190897
2,5,5239,39.3320711,-76.7319837
2,5,3407,39.3239409,-76.7369871
2,5,1433,39.340334,-76.7697525
2,5,2815,39.3261977,-76.7698235
2,5,3831,39.3310463,-76.7628832
2,5,5104,39.3611816,-76.8026252
2,5,4458,39.3673739,-76.8285767
2,5,3485,39.380129,-76.8138013
2,5,4276,39.3774726,-76.800525
2,5,5586,39.3904783,-76.7930038
2,5,4851,39.3928436,-76.8025221
2,5,2014,39.3671621,-76.7805135
2,5,6049,39.3854328,-76.7701845
2,5,5988,39.3729256,-76.7674269
2,5,2413,39.353095,-76.7333148
2,5,3070,39.3549038,-76.7215235
2,5,2278,39.3432678,-76.7173005
2,5,2424,39.3660523,-76.7353449
2,5,3356,39.3760649,-76.7321884
2,5,5250,39.3741504,-76.7168009
2,5,5949,39.3775747,-76.6978219
2,5,4951,39.3852452,-76.6709775
2,5,5969,39.3777775,-76.6642845
2,5,5476,39.391378,-76.757956
2,5,2508,39.3930957,-76.7313561
2,5,4578,39.4186423,-76.7418515
2,5,1678,39.4268689,-76.7049868
2,5,2971,39.4058025,-76.7019267
2,5,3652,39.38729,-76.6973084
2,5,7434,39.4241613,-76.8203443
2,5,5579,39.4231213,-76.7942606
2,5,5887,39.443624,-76.7936255
2,5,8641,39.4316056,-76.7762307
