alpha,beta,gamma,pop_dif
15.299999999999999,0.9,0,0.5388878919788619
15.299999999999999,0.9,0.1,0.8445072034105636
15.299999999999999,0.9,0.2,0.5012756528732816
15.299999999999999,0.9,0.30000000000000004,0.8213901579814685
15.299999999999999,0.9,0.4,0.3421301005373927
15.299999999999999,0.9,0.5,0.627201738135975
15.299999999999999,0.9,0.6000000000000001,0.8573564696011423
15.299999999999999,0.9,0.7000000000000001,0.5276553702846493
15.299999999999999,0.9,0.8,0.8096594149309962
15.299999999999999,0.9,0.9,0.30789468758722666
15.299999999999999,0.9,1,0.2524127409033272
15.299999999999999,0.9,1.1,0.8037545498257459
15.299999999999999,0.9,1.2000000000000002,0.5534204355434336
15.299999999999999,0.9,1.3,0.8554407379671015
15.299999999999999,0.9,1.4000000000000001,0.5808191449380848
15.299999999999999,0.9,1.5,0.758157110062753
15.299999999999999,0.9,1.6,0.7708195446473083
15.299999999999999,0.9,1.7000000000000002,0.8614993135563814
15.299999999999999,0.9,1.8,0.8496413537423823
15.299999999999999,0.9,1.9000000000000001,0.5774211954538518
15.299999999999999,0.9,2,0.7829588028765117
15.299999999999999,0.9,2.1,0.7226006819514526
15.299999999999999,0.9,2.2,0.8071097279540551
15.299999999999999,0.9,2.3000000000000003,0.7438876292410709
15.299999999999999,0.9,2.4000000000000004,0.6467627971803948
15.299999999999999,0.9,2.5,0.23784604822082567
15.4,0.9,0,0.17051057798870384
15.4,0.9,0.1,0.749447552369812
15.4,0.9,0.2,0.2090754391834767
15.4,0.9,0.30000000000000004,0.7396985346601167
15.4,0.9,0.4,0.17282919113211961
15.4,0.9,0.5,0.17067514736139808
15.4,0.9,0.6000000000000001,0.648111338880458
15.4,0.9,0.7000000000000001,0.9330787726351594
15.4,0.9,0.8,0.6248303713029119
15.4,0.9,0.9,0.4525489261892546
15.4,0.9,1,0.661292298470113
15.4,0.9,1.1,0.40873209615747164
15.4,0.9,1.2000000000000002,0.7894243171753796
15.4,0.9,1.3,0.5484420079187087
15.4,0.9,1.4000000000000001,0.7984004834180157
15.4,0.9,1.5,0.8115452734115564
15.4,0.9,1.6,0.7945529222415013
15.4,0.9,1.7000000000000002,0.4108828351041419
15.4,0.9,1.8,0.7359783179712498
15.4,0.9,1.9000000000000001,0.5455297479402706
15.4,0.9,2,0.7796158762638716
15.4,0.9,2.1,0.4552712732875813
15.4,0.9,2.2,0.4846073595546157
15.4,0.9,2.3000000000000003,0.7560774325994714
15.4,0.9,2.4000000000000004,0.6397598398932621
15.4,0.9,2.5,0.5538609198485797
15.5,0.9,0,0.06794273176235359
15.5,0.9,0.1,0.355273424338827
15.5,0.9,0.2,0.4703070086551627
15.5,0.9,0.30000000000000004,0.39189784496394475
15.5,0.9,0.4,0.5738824693929432
15.5,0.9,0.5,0.8242825939594788
15.5,0.9,0.6000000000000001,0.8569300249041816
15.5,0.9,0.7000000000000001,0.8909255884528284
15.5,0.9,0.8,0.8255132277388134
15.5,0.9,0.9,0.8565734096713263
15.5,0.9,1,0.7476298408520387
15.5,0.9,1.1,0.7667680722109664
15.5,0.9,1.2000000000000002,0.8381090116825063
15.5,0.9,1.3,0.5381026350529751
15.5,0.9,1.4000000000000001,0.7809630982313978
15.5,0.9,1.5,0.8196792030555033
15.5,0.9,1.6,0.7270679809946637
15.5,0.9,1.7000000000000002,0.7103520558729913
15.5,0.9,1.8,0.6553675753173359
15.5,0.9,1.9000000000000001,0.8405895835117149
15.5,0.9,2,0.874959722487942
15.5,0.9,2.1,0.5123885777918858
15.5,0.9,2.2,0.752494549281076
15.5,0.9,2.3000000000000003,0.7517053436107745
15.5,0.9,2.4000000000000004,0.6209657127668999
15.5,0.9,2.5,0.23784604822082567
15.6,0.9,0,0.0273638429656637
15.6,0.9,0.1,0.8807571925720933
15.6,0.9,0.2,0.8376913579949797
15.6,0.9,0.30000000000000004,0.21492299471011317
15.6,0.9,0.4,0.7397778237935133
15.6,0.9,0.5,0.19139329249679482
15.6,0.9,0.6000000000000001,0.1400665645306144
15.6,0.9,0.7000000000000001,0.13468505672735437
15.6,0.9,0.8,0.8629994274476612
15.6,0.9,0.9,0.66739533753386
15.6,0.9,1,0.4817503948537851
15.6,0.9,1.1,0.5706749252956002
15.6,0.9,1.2000000000000002,0.4700927716548903
15.6,0.9,1.3,0.5554412747166559
15.6,0.9,1.4000000000000001,0.7224341275794379
15.6,0.9,1.5,0.6941348240839185
15.6,0.9,1.6,0.38135109024235686
15.6,0.9,1.7000000000000002,0.8161600271629939
15.6,0.9,1.8,0.7190959075186686
15.6,0.9,1.9000000000000001,0.6184457681373742
15.6,0.9,2,0.8471762207537819
15.6,0.9,2.1,0.6336487131266064
15.6,0.9,2.2,0.7262908624655515
15.6,0.9,2.3000000000000003,0.6266056421419433
15.6,0.9,2.4000000000000004,0.6298874661117472
15.6,0.9,2.5,0.5769148285530465
15.7,0.9,0,0.2290897208662158
15.7,0.9,0.1,0.12307667349234275
15.7,0.9,0.2,0.10212260845528028
15.7,0.9,0.30000000000000004,0.17483454888402503
15.7,0.9,0.4,0.7120487805454264
15.7,0.9,0.5,0.22323658526909645
15.7,0.9,0.6000000000000001,0.752690994692752
15.7,0.9,0.7000000000000001,0.8130341737036246
15.7,0.9,0.8,0.5227523413595231
15.7,0.9,0.9,0.7790091644991127
15.7,0.9,1,0.8092353204395167
15.7,0.9,1.1,0.8544874662299623
15.7,0.9,1.2000000000000002,0.739549606862637
15.7,0.9,1.3,0.71775943628479
15.7,0.9,1.4000000000000001,0.7179194476847541
15.7,0.9,1.5,0.8172053379826602
15.7,0.9,1.6,0.7816495831836963
15.7,0.9,1.7000000000000002,0.7935815480304077
15.7,0.9,1.8,0.7660378950607862
15.7,0.9,1.9000000000000001,0.8589905829169402
15.7,0.9,2,0.7885336011890421
15.7,0.9,2.1,0.4368849880494552
15.7,0.9,2.2,0.5080610021786492
15.7,0.9,2.3000000000000003,0.7285643585257044
15.7,0.9,2.4000000000000004,0.4415448811369359
15.7,0.9,2.5,0.23784604822082567
15.799999999999999,0.9,0,0.19210254629021414
15.799999999999999,0.9,0.1,0.87401479049334585
15.799999999999999,0.9,0.2,0.8239234376670791
15.799999999999999,0.9,0.30000000000000004,0.10499155198861741
15.799999999999999,0.9,0.4,0.8558184174491393
15.799999999999999,0.9,0.5,0.8586490124994327
15.799999999999999,0.9,0.6000000000000001,0.23365796010236334
15.799999999999999,0.9,0.7000000000000001,0.5262780207418428
15.799999999999999,0.9,0.8,0.8390122791338628
15.799999999999999,0.9,0.9,0.8150619697482362
15.799999999999999,0.9,1,0.5263775959562437
15.799999999999999,0.9,1.1,0.8781668946299664
15.799999999999999,0.9,1.2000000000000002,0.8761641739147774
15.799999999999999,0.9,1.3,0.7255403046925214
15.799999999999999,0.9,1.4000000000000001,0.8123551502538146
15.799999999999999,0.9,1.5,0.8075431253232285
15.799999999999999,0.9,1.6,0.7202605938117356
15.799999999999999,0.9,1.7000000000000002,0.7244568157872255
15.799999999999999,0.9,1.8,0.6713905193799867
15.799999999999999,0.9,1.9000000000000001,0.5209695727849022
15.799999999999999,0.9,2,0.6347304898918357
15.799999999999999,0.9,2.1,0.4264405034040247
15.799999999999999,0.9,2.2,0.8138785250833916
15.799999999999999,0.9,2.3000000000000003,0.6576894571371523
15.799999999999999,0.9,2.4000000000000004,0.7432159268530597
15.799999999999999,0.9,2.5,0.23784604822082567
15.9,0.9,0,0.5824096460866669
-1,-1,NA,-1
15.9,0.9,0.2,0.46029107853598134
15.9,0.9,0.30000000000000004,0.16741171983340483
15.9,0.9,0.4,0.33591152036364913
15.9,0.9,0.5,0.45337903026884246
15.9,0.9,0.6000000000000001,0.7305500063705446
15.9,0.9,0.7000000000000001,0.6622608577173893
15.9,0.9,0.8,0.888291271238205
15.9,0.9,0.9,0.5525873738315007
15.9,0.9,1,0.6996888888888889
15.9,0.9,1.1,0.8349202589706369
15.9,0.9,1.2000000000000002,0.7285319273176931
15.9,0.9,1.3,0.2916972612846647
15.9,0.9,1.4000000000000001,0.7915553353948382
15.9,0.9,1.5,0.5770407363018004
15.9,0.9,1.6,0.7802365650566243
15.9,0.9,1.7000000000000002,0.6208731842010484
15.9,0.9,1.8,0.6651541233582512
15.9,0.9,1.9000000000000001,0.7399850663595348
15.9,0.9,2,0.8273626041747265
15.9,0.9,2.1,0.2982762252453081
15.9,0.9,2.2,0.4795634612030975
15.9,0.9,2.3000000000000003,0.7661665198517372
15.9,0.9,2.4000000000000004,0.20081238919273073
15.9,0.9,2.5,0.5319863031432862
16,0.9,0,0.048127016983051885
16,0.9,0.1,0.4893526935552333
16,0.9,0.2,0.33807817454538497
16,0.9,0.30000000000000004,0.7424082183828262
16,0.9,0.4,0.590735647563121
16,0.9,0.5,0.8994123003274674
16,0.9,0.6000000000000001,0.8597755605717466
16,0.9,0.7000000000000001,0.8731320969010461
16,0.9,0.8,0.7499434280732776
16,0.9,0.9,0.5985290044473365
16,0.9,1,0.8578319519265335
16,0.9,1.1,0.7956220382984448
16,0.9,1.2000000000000002,0.6649243077478556
16,0.9,1.3,0.5925550405561993
16,0.9,1.4000000000000001,0.8276890349055297
16,0.9,1.5,0.7541894958989439
16,0.9,1.6,0.8561577029678303
16,0.9,1.7000000000000002,0.7565893772997071
16,0.9,1.8,0.42353625370717596
16,0.9,1.9000000000000001,0.8114908578447342
16,0.9,2,0.874649673788384
16,0.9,2.1,0.3628220359440156
16,0.9,2.2,0.7544202489664782
16,0.9,2.3000000000000003,0.7717153921422698
16,0.9,2.4000000000000004,0.7222513756426473
16,0.9,2.5,0.5331118621786188
16.1,0.9,0,0.21046038489724703
16.1,0.9,0.1,0.0922348909674159
16.1,0.9,0.2,0.19458069367688477
16.1,0.9,0.30000000000000004,0.32460524776108374
16.1,0.9,0.4,0.8538283535944005
16.1,0.9,0.5,0.1964390722810784
16.1,0.9,0.6000000000000001,0.4343000753862473
16.1,0.9,0.7000000000000001,0.87883355764917
16.1,0.9,0.8,0.8807503963230134
16.1,0.9,0.9,0.8687760429740449
16.1,0.9,1,0.2994729812944347
16.1,0.9,1.1,0.4881000678560017
16.1,0.9,1.2000000000000002,0.3501250820703831
16.1,0.9,1.3,0.3522982026097964
16.1,0.9,1.4000000000000001,0.5483659160719024
16.1,0.9,1.5,0.7749703745556183
16.1,0.9,1.6,0.6721722885187642
16.1,0.9,1.7000000000000002,0.7507173887292006
16.1,0.9,1.8,0.8608239053586321
16.1,0.9,1.9000000000000001,0.7408753399501447
16.1,0.9,2,0.5334703076681168
16.1,0.9,2.1,0.6622073459967793
16.1,0.9,2.2,0.5365906299460534
16.1,0.9,2.3000000000000003,0.7862313752180118
16.1,0.9,2.4000000000000004,0.6749430490306133
16.1,0.9,2.5,0.5148695833255288
16.2,0.9,0,0.4387775725610687
16.2,0.9,0.1,0.033699818420909786
16.2,0.9,0.2,0.4316828674362532
16.2,0.9,0.30000000000000004,0.5786413769281372
16.2,0.9,0.4,0.042319283424432495
16.2,0.9,0.5,0.5415599173120548
16.2,0.9,0.6000000000000001,0.668598552603324
16.2,0.9,0.7000000000000001,0.21326522752219376
16.2,0.9,0.8,0.6738031110185213
16.2,0.9,0.9,0.8151964885477672
16.2,0.9,1,0.8508841530421049
16.2,0.9,1.1,0.905610610123091
16.2,0.9,1.2000000000000002,0.7052565612636285
16.2,0.9,1.3,0.8461861326945324
16.2,0.9,1.4000000000000001,0.7856097871003485
16.2,0.9,1.5,0.873385783045675
16.2,0.9,1.6,0.8487233636553408
16.2,0.9,1.7000000000000002,0.7631223074743257
16.2,0.9,1.8,0.5229254567883577
16.2,0.9,1.9000000000000001,0.7951442933018661
16.2,0.9,2,0.9101312702333092
16.2,0.9,2.1,0.5843173018271675
16.2,0.9,2.2,0.7477714191706131
16.2,0.9,2.3000000000000003,0.7261946302337896
16.2,0.9,2.4000000000000004,0.4468635039872589
16.2,0.9,2.5,0.2950914349008503
16.3,0.9,0,0.14300351397026526
16.3,0.9,0.1,0.5126093038706085
16.3,0.9,0.2,0.012635036353824224
16.3,0.9,0.30000000000000004,0.3509340803847741
