tract_new,county,pop100,intptlat,intptlon,tract
001770100,001,4742,38.960733041245135,-83.37168093579767,770100
001770200,001,4714,38.96490664696356,-83.5686017340081,770200
001770301,001,3988,38.88937253803681,-83.55078141411043,770301
001770302,001,3077,38.82204460080645,-83.65045701290323,770302
001770400,001,4685,38.7864412169697,-83.54147993878787,770400
001770500,001,3038,38.763983463535915,-83.358589479558,770500
001770600,001,3233,38.689567666826925,-83.60911850913462,770600
003010100,003,4126,40.89403669357143,-83.8949139,010100
003010200,003,3812,40.85509561652174,-84.00647010144928,010200
003010300,003,1600,40.825040457009344,-84.17722719719626,010300
003010600,003,5128,40.72694356866359,-84.32250928617512,010600
003010801,003,4453,40.78169905929204,-84.19492923893806,010801
003010802,003,3602,40.74776105238095,-84.19332796904762,010802
003010900,003,4545,40.74399066985294,-84.15511224485294,010900
003011000,003,5437,40.771649097560974,-84.13102669390244,011000
003011200,003,2843,40.76925110465116,-84.09300055813954,011200
003011301,003,4538,40.744682262135925,-84.05440766601942,011301
003011302,003,2771,40.79786467058823,-84.04484274705882,011302
003011400,003,3143,40.77195398846154,-83.94319708153846,011400
003011500,003,2757,40.69204000476191,-83.94149440952381,011500
003011600,003,2579,40.692506360869565,-84.0536243373913,011600
003011800,003,2298,40.72062785,-84.14042606315789,011800
003011900,003,3089,40.68008645934066,-84.13606987802198,011900
003012000,003,2593,40.704466458064516,-84.16666160645161,012000
003012100,003,3438,40.68626564929578,-84.18923091830986,012100
003012200,003,3338,40.7633612097561,-84.11414374390243,012200
003012300,003,3893,40.75271714886364,-84.11711339659091,012300
003012400,003,2466,40.754941914084505,-84.10514395492957,012400
003012600,003,1742,40.73772598282828,-84.08315673232323,012600
003012700,003,1481,40.73485955535714,-84.09522357142858,012700
003012900,003,1668,40.74537408604651,-84.11956263255814,012900
003013000,003,4005,40.74743171460674,-84.13365178876404,013000
003013100,003,2343,40.738785776,-84.14195291333333,013100
003013200,003,1827,40.73615677916667,-84.13185588541667,013200
003013300,003,1352,40.73657422580645,-84.11822577419355,013300
003013400,003,2124,40.73028097209302,-84.1084430511628,013400
003013600,003,1182,40.72790318372093,-84.09339762093023,013600
003013700,003,1095,40.72098639302325,-84.09162462093023,013700
003013800,003,2614,40.71307890662251,-84.09930973046357,013800
003013900,003,3313,40.81958756755319,-84.31525330106383,013900
003014000,003,3316,40.843522691124264,-84.30236132011834,014000
003014100,003,1695,40.74264424324324,-84.10421870202703,014100
005970101,005,2375,41.03332818888889,-82.21244563777778,970101
005970102,005,6168,40.93105553830645,-82.19565863306451,970102
005970200,005,5803,40.981840529838706,-82.3493814516129,970200
005970300,005,3823,40.87782410941176,-82.33579241647058,970300
005970400,005,3614,40.88254615075758,-82.30178635833333,970400
005970500,005,2954,40.865764354,-82.312553541,970500
005970600,005,4433,40.854864660747666,-82.3508366682243,970600
005970700,005,5493,40.83340406581197,-82.33438283846154,970700
005970800,005,4148,40.855377123846154,-82.28098066538462,970800
005970900,005,5061,40.774335125081436,-82.18681694527687,970900
005971000,005,4750,40.720160483448275,-82.31308966206896,971000
005971100,005,3825,40.62838202074689,-82.2443502219917,971100
007000101,007,4653,41.93811256034483,-80.56346359913793,000101
007000102,007,3130,41.957205917460314,-80.56008616349206,000102
007000103,007,3527,41.943607201041665,-80.56318825104167,000103
007000200,007,4344,41.90949128888889,-80.66035799841269,000200
007000300,007,2093,41.88339761717172,-80.73780565252525,000300
007000400,007,1681,41.8955183016129,-80.78781272096774,000400
007000500,007,4108,41.87006203173077,-80.77358144711539,000500
007000601,007,2582,41.888433962962964,-80.8018108037037,000601
007000602,007,3294,41.89116490493827,-80.81898075555556,000602
007000603,007,4058,41.872625268939395,-80.85099055454546,000603
007000701,007,3036,41.86708778333333,-80.7986799962963,000701
007000702,007,2836,41.8155990974026,-80.85675340779221,000702
007000703,007,3631,41.855210439655174,-80.80051611034483,000703
007000704,007,3793,41.85191544788732,-80.77518453873239,000704
007000801,007,1346,41.85492366585366,-80.94009741707318,000801
007000802,007,4912,41.801490064646465,-80.93153772727273,000802
007000900,007,4477,41.80704898235294,-80.96642990490196,000900
007001001,007,5611,41.64991652533333,-80.88177643288888,001001
007001002,007,3397,41.74702688938053,-80.90257159292035,001002
007001101,007,1852,41.659375544594596,-80.75871706081081,001101
007001102,007,6139,41.75125727409639,-80.76936008975903,001102
007001201,007,3497,41.81714715263158,-80.67309691403509,001201
007001202,007,3327,41.831057521678325,-80.56748882307693,001202
007001301,007,3628,41.560876228472225,-80.58680389305556,001301
007001303,007,2835,41.6601449870229,-80.62886654885496,001303
007001304,007,979,41.635592895,-80.5478995225,001304
007001401,007,4119,41.5518828606383,-80.93676435,001401
007001402,007,4689,41.55315096513158,-80.80211720986843,001402
009972600,009,4042,39.49754889094203,-82.08458046086956,972600
009972700,009,3633,39.455092102185795,-82.19275648579234,972700
009972800,009,3815,39.43357807978142,-82.2362934568306,972800
009972900,009,5776,39.362224940883976,-82.13337243701658,972900
009973000,009,3707,39.337429575,-82.09354507619048,973000
009973101,009,4316,39.32861750833333,-82.10879275416667,973101
009973200,009,4581,39.31523169193548,-82.14723361370967,973200
009973300,009,3926,39.30857346637931,-82.07586049568965,973300
009973400,009,3154,39.36860753779904,-82.09503450813398,973400
009973500,009,3351,39.390768227017546,-81.9586056522807,973500
009973600,009,3795,39.235180057735846,-81.81843854301887,973600
009973700,009,3971,39.24453860128205,-82.03072462094018,973700
009973800,009,4925,39.26710920964467,-82.21744055431472,973800
009973901,009,6193,39.32460628518518,-82.09641165555556,973901
009973902,009,3246,39.3310760325,-82.09559335,973902
011040100,011,3726,40.596738463274335,-84.00926909424778,040100
011040200,011,4241,40.62264071538461,-84.15173848461538,040200
011040300,011,3553,40.567022836363634,-84.18620593939394,040300
011040400,011,6882,40.57339696527778,-84.2039599125,040400
011040500,011,5162,40.61006295705882,-84.33077324088235,040500
011040600,011,3749,40.5274129242268,-84.37926213659794,040600
011040900,011,3751,40.43909090129032,-84.38298334451613,040900
011041000,011,4011,40.395171520261435,-84.3844338751634,041000
011041100,011,4003,40.51679838956229,-84.18694468181818,041100
011041201,011,2057,40.53930244848485,-84.42459149545455,041201
011041202,011,5287,40.54229245714286,-84.39671777083333,041202
013010100,013,3733,40.104079452702706,-80.74424678603603,010100
013010200,013,3516,40.070349127826084,-80.78125078347826,010200
013010300,013,3401,40.123226668548384,-80.83725530080645,010300
013010600,013,3540,40.14133019330544,-81.03772830041841,010600
013010700,013,2687,40.07752161909091,-81.08297284272727,010700
013010802,013,2162,40.02282621130435,-81.05556190086956,010802
013010901,013,1733,39.98435175229358,-81.09067736422018,010901
013010902,013,4875,39.99098816878307,-81.1763305962963,010902
013011000,013,4770,39.89245452703777,-80.97747047276341,011000
013011200,013,3167,39.96876461612903,-80.8775566516129,011200
013011300,013,3696,39.9706011712766,-80.7517820462766,011300
013011400,013,4292,40.017970225581394,-80.7809667622093,011400
013011500,013,1435,40.0111701,-80.74970694476191,011500
013011600,013,1151,40.018702376363635,-80.74556776909091,011600
013011700,013,1285,40.02839553387097,-80.7402633564516,011700
013011900,013,2786,40.091935094565216,-80.73323995434782,011900
013012000,013,2459,40.10548946829268,-80.72260066585366,012000
013012100,013,1128,40.097681202380954,-80.72182443928571,012100
013012201,013,1810,40.02312074242424,-80.90059989015151,012201
013012202,013,4469,40.083690898113204,-80.96802737924529,012202
013012300,013,4078,40.07989625723684,-80.90819465921052,012300
013012400,013,4324,40.07601351654135,-80.87361879097745,012400
015951201,015,4345,39.19290344846939,-83.94522760867346,951201
015951202,015,4818,39.08552921935484,-83.94489580258065,951202
015951301,015,5439,39.01803222631579,-83.91928893486842,951301
015951302,015,2668,39.02409058333333,-83.99367203461539,951302
015951400,015,4234,38.972660464321606,-83.83695384974874,951400
015951500,015,5567,38.91930889398907,-83.76076026420765,951500
015951600,015,3357,38.71497357022222,-83.75621586355555,951600
015951700,015,2380,38.75291327518797,-83.83980143007518,951700
015951800,015,5218,38.85110448596491,-83.90769357777778,951800
015951900,015,5650,38.87661277142857,-83.9830787235023,951900
017000100,017,4733,39.35928871428572,-84.5535870948052,000100
017000200,017,4253,39.36874790843373,-84.55779275301205,000200
017000300,017,3574,39.388573322988506,-84.56293084827587,000300
017000400,017,4747,39.384593041818185,-84.55126589454545,000400
017000500,017,4520,39.38578413402062,-84.54161361752577,000500
017000600,017,4680,39.401848679591836,-84.54640967142858,000600
017001001,017,5907,39.42477857777778,-84.56203504305556,001001
017001002,017,5603,39.42163342705882,-84.58306339294117,001002
017001100,017,4287,39.40610913690476,-84.57857776071428,001100
017001300,017,4443,39.39798555660377,-84.59056273207547,001300
017010102,017,2965,39.51624328636364,-84.763975090909085,010102
017010103,017,5129,39.49619074509804,-84.7521744627451,010103
017010104,017,5545,39.5065598,-84.73434031666666,010104
017010105,017,3560,39.51374442857143,-84.74166382077922,010105
017010106,017,3241,39.50681347,-84.74377100833334,010106
