,district,county,population,lat,long
0,0,1.0,4426.0,38.301564040757235,-112.60509282828508
1,0,1.0,2646.0,38.35173374523227,-113.23181255293399
2,0,3.0,3498.0,41.6850469442953,-113.07633134669223
3,0,7.0,3236.0,39.57104274246576,-110.73898296438357
4,0,7.0,4211.0,39.611155164705885,-110.81916008991597
5,0,7.0,4202.0,39.598304447008545,-110.80264191709402
6,0,7.0,4010.0,39.65122855487465,-110.96258806211699
7,0,7.0,4753.0,39.59333894494382,-110.58774730477528
8,0,9.0,935.0,40.92017768021108,-109.55217414617414
9,0,13.0,3994.0,40.21650712788296,-110.52896888330464
10,0,13.0,2888.0,40.29999086067416,-109.98568485168539
11,0,13.0,5619.0,40.302481147101446,-110.01240084855073
12,0,13.0,7095.0,40.30989544644809,-110.17699280510018
13,0,15.0,3844.0,39.34462993502825,-110.87842033248587
14,0,15.0,2903.0,39.24370114223301,-111.06983838592232
15,0,15.0,3078.0,39.00091329410853,-110.73503830527132
16,0,17.0,2342.0,37.763112116049385,-112.46772831234568
17,0,17.0,2741.0,37.842115612663754,-111.58423449257641
18,0,19.0,4676.0,38.57520497153285,-109.55029376131387
19,0,19.0,2470.0,38.53429327162162,-109.48206445
20,0,19.0,2523.0,38.75987348304721,-109.6167790581545
21,0,21.0,4434.0,37.837742087831856,-112.82541241858407
22,0,21.0,4488.0,37.75332100131579,-113.05255469342106
23,0,21.0,5294.0,37.87520328832117,-113.11526006861314
24,0,21.0,4527.0,37.78449819071207,-113.51200023271414
25,0,21.0,5031.0,37.67091284054054,-113.07396127702702
26,0,21.0,7022.0,37.708201538666664,-113.061223996
27,0,21.0,4602.0,37.697874053947366,-113.05224500526316
28,0,21.0,1980.0,37.676222226470585,-113.06124077058823
29,0,21.0,4751.0,37.63203034495413,-113.06175468899083
30,0,21.0,6609.0,37.619282254112555,-113.16082924458874
31,0,21.0,4645.0,37.674008714705884,-113.09392622941176
32,0,21.0,3906.0,37.70905109318182,-113.08437568295454
33,0,23.0,6653.0,39.71029178778281,-111.83474445294118
34,0,23.0,5133.0,39.733565841841845,-112.4234355014014
35,0,25.0,2392.0,37.31279208586859,-112.35033962817282
36,0,25.0,5275.0,37.071123675,-112.51139173082191
37,0,27.0,5040.0,39.383788773798074,-112.46410685576923
38,0,27.0,2918.0,39.15024330553991,-113.26093280741784
39,0,27.0,5017.0,38.92912899965318,-112.47727003988439
40,0,31.0,1438.0,38.33120117444169,-112.13185211761787
41,0,35.0,3562.0,40.73530420694444,-111.7555934013889
42,0,35.0,7886.0,40.527024342105264,-112.07442332982455
43,0,35.0,5403.0,40.7088356969697,-112.07869762727273
44,0,35.0,6039.0,40.69969799787234,-112.0780231212766
45,0,35.0,7667.0,40.690281606944446,-112.0773794625
46,0,35.0,4888.0,40.72929658545455,-112.09886052090908
47,0,35.0,5272.0,40.69760738,-112.098623544
48,0,35.0,4119.0,40.62123406,-112.0709909709091
49,0,35.0,10724.0,40.59921406590909,-112.04347313636363
50,0,37.0,3595.0,37.183674913148145,-109.35616832444444
51,0,37.0,2482.0,37.06611488721804,-110.28791716015037
52,0,37.0,3562.0,38.05870251227496,-109.28662672798691
53,0,37.0,4879.0,37.55037495126582,-109.60273043765822
54,0,39.0,4575.0,39.505474209116024,-111.44842814143647
55,0,39.0,3579.0,39.63692633913043,-111.42804178461539
56,0,39.0,4138.0,39.583369100615386,-111.60547124769231
57,0,39.0,5580.0,39.173369935164835,-111.83186823736264
58,0,39.0,1767.0,39.351289073913044,-111.59998134347826
59,0,39.0,4174.0,39.35344169726027,-111.56620591780822
60,0,39.0,4624.0,39.19932448529412,-111.59749276390374
61,0,41.0,4603.0,38.94847511867612,-111.8239979962175
62,0,41.0,2624.0,38.707418729764065,-111.86924991179673
63,0,41.0,5054.0,38.76818477419355,-112.09576915225806
64,0,41.0,4099.0,38.753894936923075,-112.08481440564103
65,0,41.0,5142.0,38.62886993226667,-112.1695071832
66,0,43.0,2269.0,41.023427406629835,-111.33670428232044
67,0,43.0,1308.0,40.74513427083333,-111.43900304166667
68,0,43.0,2222.0,40.89368268145695,-111.26941971192053
69,0,43.0,4438.0,40.63186689366197,-111.2763242774648
70,0,43.0,3216.0,40.70754617735849,-111.28146950943396
71,0,43.0,192.0,40.87373373240741,-110.78442746527777
72,0,43.0,3276.0,40.76169775897436,-111.57687448717948
73,0,43.0,5531.0,40.744123956923076,-111.58541811076923
74,0,43.0,2285.0,40.69217092575757,-111.55548190909091
75,0,43.0,3397.0,40.76721977739726,-111.50763112671233
76,0,43.0,5382.0,40.70939724216868,-111.52632151566264
77,0,43.0,3238.0,40.68114382857143,-111.50389465892857
78,0,43.0,1473.0,40.65010193278688,-111.51421895245902
79,0,43.0,4130.0,40.6506559079646,-111.48517024690265
80,0,45.0,1717.0,40.384027600887904,-113.19291886193119
81,0,45.0,5109.0,40.61923496451613,-112.26390876989247
82,0,45.0,6070.0,40.638634438888886,-112.30798782962962
83,0,45.0,5812.0,40.62806562,-112.30098489272727
84,0,45.0,6774.0,40.5712608159292,-112.33205204159292
