tract_new,county,pop100,intptlat,intptlon,tract
019020505,019,3917,33.9916026,-78.5495703,020505
019020508,019,3039,33.9328358,-78.5220125,020508
019020510,019,2405,33.8937359,-78.4776126,020510
019020511,019,2566,33.9128875,-78.4015063,020511
019020512,019,1170,33.8801764,-78.4827167,020512
019020513,019,1541,33.942302,-78.4261239,020513
019020514,019,3004,33.9462878,-78.3837561,020514
019020515,019,3581,33.9178421,-78.5959278,020515
019020516,019,4717,33.912908,-78.5696551,020516
019020517,019,2522,33.8860135,-78.5461908,020517
019020518,019,3234,33.9070699,-78.483257,020518
019020601,019,4698,34.0823293,-78.4165529,020601
019020602,019,5618,34.164494,-78.2037781,020602
019020603,019,3325,34.0182139,-78.1976448,020603
021000100,021,1563,35.59488,-82.5532037,000100
021000200,021,1902,35.597076,-82.5666758,000200
021000300,021,2183,35.6056351,-82.5724487,000300
021000400,021,4436,35.6147195,-82.5622271,000400
021000500,021,3725,35.6230445,-82.5424249,000500
021000600,021,1972,35.6041522,-82.5470874,000600
021000700,021,1648,35.5904452,-82.5453765,000700
021000800,021,3358,35.5810477,-82.5377897,000800
021000900,021,3552,35.5787019,-82.5582858,000900
021001000,021,4620,35.57542,-82.57526,001000
021001100,021,5127,35.571199,-82.5926798,001100
021001200,021,5381,35.5706972,-82.6099808,001200
021001300,021,4585,35.5806246,-82.6227506,001300
021001401,021,5028,35.6062837,-82.6009376,001401
021001402,021,2442,35.5978109,-82.5843859,001402
021001500,021,2507,35.6306242,-82.5944149,001500
021001601,021,3432,35.6274203,-82.5619283,001601
021001602,021,3480,35.659500800000004,-82.5631461,001602
021001700,021,2887,35.6458553,-82.5155282,001700
021001801,021,3512,35.6121842,-82.5226018,001801
021001802,021,4671,35.608999,-82.5004234,001802
021001900,021,3645,35.5767566,-82.5017858,001900
021002000,021,7131,35.5624626,-82.5236113,002000
021002101,021,1469,35.5350563,-82.5556527,002101
021002102,021,5650,35.5419974,-82.5161929,002102
021002203,021,6661,35.4525755,-82.5376833,002203
021002204,021,9841,35.4980287,-82.5432633,002204
021002205,021,6815,35.470337,-82.4960745,002205
021002206,021,5053,35.5020846,-82.5053243,002206
021002303,021,6716,35.4608866,-82.5727567,002303
021002304,021,1675,35.452718,-82.6199323,002304
021002305,021,5967,35.5074363,-82.6558325,002305
021002306,021,3890,35.5342985,-82.5963832,002306
021002401,021,3554,35.485319,-82.7549939,002401
021002402,021,5660,35.4713253,-82.7050248,002402
021002503,021,4354,35.5435554,-82.7196783,002503
021002504,021,5135,35.5676668,-82.7256343,002504
021002505,021,5164,35.5681755,-82.6680939,002505
021002506,021,3961,35.5869732,-82.6512962,002506
021002603,021,3784,35.6461407,-82.7893106,002603
021002604,021,6746,35.6866884,-82.6827896,002604
021002606,021,4158,35.643985,-82.6590655,002606
021002607,021,4489,35.6342979,-82.6148321,002607
021002608,021,5199,35.6106682,-82.6858471,002608
021002609,021,1297,35.6451236,-82.6993953,002609
021002701,021,4354,35.6756825,-82.6033401,002701
021002702,021,4633,35.705975,-82.5789043,002702
021002704,021,4837,35.6888391,-82.5232384,002704
021002705,021,1391,35.6988106,-82.4509565,002705
021002803,021,4410,35.7328817,-82.6147787,002803
021002804,021,5343,35.7504108,-82.5373328,002804
021002900,021,3876,35.7713993,-82.3792437,002900
021003002,021,7296,35.6141955,-82.3976703,003002
021003003,021,5582,35.5996994,-82.4646274,003003
021003004,021,2615,35.6373813,-82.4509973,003004
021003103,021,1943,35.5918424,-82.3385987,003103
021003105,021,4609,35.6275198,-82.2904883,003105
021003106,021,1696,35.7006079,-82.3124706,003106
021003107,021,4030,35.6264532,-82.3456332,003107
021003108,021,2467,35.6877735,-82.3555208,003108
021003201,021,1773,35.5462131,-82.4843624,003201
021003202,021,4846,35.4998847,-82.4554357,003202
021003203,021,6096,35.5415806,-82.4373634,003203
021003204,021,5925,35.5174215,-82.3780416,003204
021003205,021,1705,35.5233277,-82.2635354,003205
023020100,023,4048,35.8229658,-81.6671488,020100
023020202,023,4377,35.7739461,-81.7359734,020202
023020203,023,2860,35.8554345,-81.8755249,020203
023020204,023,2792,35.8039948,-81.8008585,020204
023020301,023,4691,35.7103261,-81.8190141,020301
023020303,023,4698,35.6934159,-81.7632051,020303
023020304,023,2741,35.6458032,-81.8012763,020304
023020500,023,2969,35.7519415,-81.6986623,020500
023020600,023,6363,35.7549587,-81.6728165,020600
023020801,023,5219,35.7643139,-81.6150935,020801
023020802,023,3249,35.7316409,-81.6304353,020802
023020901,023,3598,35.7605357,-81.5425419,020901
023020902,023,3421,35.7370901,-81.5571077,020902
023021000,023,5165,35.7498858,-81.4646362,021000
023021100,023,5946,35.7400742,-81.4160037,021100
023021201,023,3564,35.697678,-81.5918285,021201
023021202,023,3902,35.6923105,-81.4770785,021202
023021203,023,4024,35.6503914,-81.5375599,021203
023021301,023,5442,35.6808305,-81.6823365,021301
023021302,023,3389,35.617954,-81.6582038,021302
023021400,023,5112,35.7286661,-81.7121721,021400
025040501,025,9545,35.3430747,-80.5546617,040501
025040502,025,5641,35.3789627,-80.5208637,040502
025040600,025,6238,35.4640602,-80.5073215,040600
025040701,025,1823,35.4976616,-80.5817529,040701
025040703,025,2976,35.4615781,-80.6009999,040703
025040704,025,3720,35.4783068,-80.5976744,040704
025040705,025,3535,35.4938412,-80.5918686,040705
025040800,025,4136,35.4905774,-80.6179974,040800
025040900,025,2157,35.4640671,-80.6148394,040900
025041001,025,3495,35.4839057,-80.6420394,041001
025041002,025,2887,35.4978869,-80.6330379,041002
025041100,025,7370,35.4589708,-80.6346627,041100
025041201,025,3385,35.4834448,-80.6960213,041201
025041202,025,6064,35.458206,-80.6715841,041202
025041301,025,7633,35.4686575,-80.7484576,041301
025041304,025,8674,35.4330687,-80.7459596,041304
025041305,025,2688,35.419179,-80.716081,041305
025041306,025,6345,35.395194,-80.7269366,041306
025041307,025,7343,35.4003892,-80.7511964,041307
025041503,025,6114,35.3238428,-80.5806243,041503
025041504,025,4409,35.3186385,-80.6191319,041504
025041505,025,8107,35.3036585,-80.6597185,041505
025041506,025,5302,35.2744575,-80.6423439,041506
025041507,025,4450,35.2802569,-80.6003441,041507
025041602,025,3514,35.3434973,-80.4619357,041602
025041603,025,4992,35.2309344,-80.5334599,041603
025041604,025,4288,35.2854473,-80.5089544,041604
025041701,025,4259,35.39808,-80.4047449,041701
025041702,025,3448,35.4608832,-80.3967588,041702
025041901,025,2076,35.4112779,-80.6060323,041901
025041902,025,4360,35.413792,-80.5926482,041902
025042000,025,5698,35.3758415,-80.6155081,042000
025042101,025,3504,35.3949811,-80.5825114,042101
025042102,025,3709,35.3733399,-80.5895258,042102
025042201,025,3033,35.3804571,-80.5671878,042201
025042202,025,4601,35.4011251,-80.5565361,042202
025042300,025,4922,35.4209195,-80.5778739,042300
025042401,025,3684,35.4444251,-80.5868519,042401
025042402,025,5870,35.4358549,-80.6191746,042402
025042501,025,4740,35.4202718,-80.6416573,042501
025042502,025,2728,35.4055435,-80.6213686,042502
025042503,025,5925,35.4055542,-80.6530631,042503
025042504,025,1500,35.391337,-80.6466188,042504
025042601,025,5626,35.3927541,-80.6792491,042601
025042602,025,4789,35.3750708,-80.692239,042602
025042603,025,9240,35.3528666,-80.6537615,042603
025042604,025,5261,35.3299994,-80.6560739,042604
027030100,027,5614,35.916623800000004,-81.5413401,030100
027030200,027,5208,35.9225523,-81.5827634,030200
027030300,027,3798,35.8783948,-81.5561571,030300
027030400,027,4547,35.8681457,-81.5174085,030400
027030500,027,4792,35.9197451,-81.5071323,030500
027030600,027,4438,35.8552621,-81.4788172,030600
027030700,027,6690,35.8291934,-81.5107136,030700
027030801,027,3538,35.8156554,-81.5551973,030801
027030802,027,4108,35.8385388,-81.5916735,030802
027030900,027,4686,35.9509252,-81.696243,030900
027031000,027,2804,36.0575861,-81.6024925,031000
027031100,027,4277,36.0001013,-81.4591576,031100
027031201,027,4300,35.9347934,-81.3922821,031201
027031202,027,4327,35.8670013,-81.4560294,031202
027031301,027,4394,35.8004323,-81.3788142,031301
027031302,027,4084,35.8334125,-81.3807762,031302
027031401,027,3191,35.7931298,-81.4923341,031401
027031402,027,3519,35.7730352,-81.4066631,031402
027031403,027,2337,35.8162107,-81.4484348,031403
029950101,029,5754,36.4585546,-76.3175111,950101
029950102,029,4601,36.2430573,-75.9895585,950102
031970101,031,863,34.8896386,-76.3524929,970101
031970102,031,2293,34.9342725,-76.4740805,970102
031970103,031,2689,34.746682,-76.5410438,970103
031970200,031,1127,34.7058365,-76.5344259,970200
031970301,031,4689,34.8294281,-76.655385,970301
031970304,031,2247,34.7149191,-76.6260904,970304
